,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,area_t1,area_t2,expansion_ha_peryr,glacier_area_ha,slope_glac_to_lake,glacier_contact,glacier_touch_count,nearest_glacier_dist_m,glacier_elev_m
423,M(e),83.89,28.726,2019,14.99,5103,0,moraine,0,85.12238272389055,76.53761232073008,85.12238272389055,1.716954080632095,679.995178611231,0.0,1,3,0.0,5864.0
424,E(o),83.92,28.712,2019,10.97,4986,0,other,0,9.68718347674295,8.505827925501785,9.68718347674295,0.2362711102482329,78.07993076762456,-0.06363653738061763,0,0,1429.9960957290664,4995.0
425,M(o),83.852,28.691,2019,340.21,4910,0,moraine,0,317.53483763578737,328.6429637697676,317.53483763578737,-2.22162522679605,3845.0750005801005,0.0,1,4,0.0,4943.0
426,M(e),84.15,28.826,2019,10.74,5406,0,moraine,0,120.2659605971308,43.103018951543994,120.2659605971308,15.432588329117362,4347.509414381536,0.0,1,4,0.0,5939.0
427,M(l),84.472,28.663,2019,24.93,4088,0,moraine,0,20.95938091539096,19.698668981116537,20.95938091539096,0.2521423868548844,3464.142868447555,-0.1480506965407067,0,0,40.526658369015465,4102.0
428,M(l),84.458,28.657,2019,10.57,4039,0,moraine,0,20.95938091539096,19.698668981116537,20.95938091539096,0.2521423868548844,3464.142868447555,-0.1480506965407067,0,0,40.526658369015465,4102.0
429,M(e),84.256,28.497,2019,11.38,4987,0,moraine,0,34.56993410677801,17.363766582032344,34.56993410677801,3.4412335049491327,2330.073114874855,0.0,1,5,0.0,5773.0
430,M(e),84.486,28.488,2019,89.44,4038,0,moraine,0,93.44803886244388,91.00095783084704,93.44803886244388,0.4894162063193675,11209.79234000959,0.0,1,1,0.0,4141.0
431,M(e),84.629,28.596,2019,22.25,3632,0,moraine,0,26.964989061087667,23.732259759686418,26.964989061087667,0.6465458602802506,4878.404764512349,0.0,1,1,0.0,3647.0
432,E(o),84.579,28.372,2019,11.03,4430,0,other,0,5.846844886103713,0.3950189425649482,5.846844886103713,1.090365188707753,10.464011097526882,-0.3514279259629804,0,0,1425.61237450656,4437.0
433,M(e),84.912,28.617,2019,10.08,4683,0,moraine,0,102.8919890462248,54.71758967087878,102.8919890462248,9.634879875069206,607.4526728784157,0.0,1,3,0.0,5700.0
434,E(o),84.802,28.505,2019,21.26,3684,0,other,0,16.571688723425996,5.130372159024105,16.571688723425996,2.288263312880378,36.391084121082045,-0.4270259184712156,0,0,2318.360448808993,3699.0
435,E(c),84.78,28.38,2019,16.8,4656,0,other,0,109.25381505535948,41.54946785030252,109.25381505535948,13.540869441011392,561.6730357973511,0.0,1,5,0.0,5201.0
436,E(o),85.084,28.961,2019,17.03,5388,0,other,0,14.771032058581916,13.906790580537589,14.771032058581916,0.1728482956088658,4.310889096955116,-0.3583631021400567,0,0,814.8160294858693,5399.0
437,M(o),85.022,28.585,2019,11.99,5047,0,moraine,0,60.705654947923065,68.92547605082433,60.705654947923065,-1.6439642205802527,1645.479735485407,0.0,1,4,0.0,5561.0
438,M(e),85.17,28.292,2019,20.33,4724,0,moraine,0,67.05746143699535,38.351462855580536,67.05746143699535,5.7411997162829635,435.059531428421,0.0,1,2,0.0,4678.0
439,M(e),85.41,28.676,2019,21.04,5447,0,moraine,0,106.83030114058177,78.40042964499915,106.83030114058177,5.685974299116521,653.4354761520029,0.0,1,2,0.0,5919.0
440,M(e),85.491,28.644,2019,50.98,4985,0,moraine,0,56.752358426959006,54.38774964412446,56.752358426959006,0.4729217565669089,665.3898072050278,0.0,1,1,0.0,5127.0
441,M(e),85.474,28.642,2019,33.3,5135,0,moraine,0,78.9835863727584,33.41560210914899,78.9835863727584,9.11359685272188,6381.8513022655225,0.0,1,4,0.0,5971.0
442,M(e),85.457,28.568,2019,23.6,4495,0,moraine,0,26.972163500970776,17.90249676656847,26.972163500970776,1.8139333468804617,3099.410802809047,0.0,1,1,0.0,4505.0
443,M(e),85.464,28.566,2019,16.35,4428,0,moraine,0,26.972163500970776,17.90249676656847,26.972163500970776,1.8139333468804617,3099.410802809047,0.0,1,1,0.0,4505.0
444,I(s),85.333,28.559,2019,12.6,4973,0,ice,1,97.96397277523484,15.854240930908688,97.96397277523484,16.421946368865232,1272.1719307091666,0.0,1,2,0.0,5475.0
445,M(e),85.494,28.508,2019,26.42,4798,0,moraine,0,65.49166222645658,13.020350406190085,65.49166222645658,10.4942623640533,3832.3821563659203,0.0,1,5,0.0,5875.0
446,M(o),85.469,28.124,2019,14.08,4787,0,moraine,0,13.857240079053884,9.267391919700978,13.857240079053884,0.9179696318705812,723.1985258474233,0.0,1,3,0.0,5519.0
447,O,85.413,28.083,2019,12.59,4393,0,other,0,11.567374274315153,0.4753639877299894,11.567374274315153,2.218402057317032,,,False,0,,
448,O,85.407,28.08,2019,15.16,4327,0,other,0,11.567374274315153,0.4753639877299894,11.567374274315153,2.218402057317032,,,False,0,,
449,O,85.389,28.061,2019,16.5,4205,0,other,0,11.56948271649562,2.3774463825358483,11.56948271649562,1.8384072667919549,,,False,0,,
450,M(e),85.51,28.623,2019,118.78,5127,0,moraine,0,122.1777591771376,118.47309001916716,122.1777591771376,0.7409338315940858,1537.0862737934535,0.0,1,1,0.0,5138.0
451,M(e),85.527,28.616,2019,103.58,5113,0,moraine,0,122.1777591771376,118.47309001916716,122.1777591771376,0.7409338315940858,1537.0862737934535,0.0,1,1,0.0,5138.0
452,M(o),85.596,28.58,2019,26.15,5436,0,moraine,0,120.59261996080954,78.55413703171051,120.59261996080954,8.407696585819807,2714.968012370894,0.0,1,1,0.0,5363.0
453,M(o),85.583,28.575,2019,22.13,5438,0,moraine,0,119.88278384407168,77.76543030104419,119.88278384407168,8.423470708605496,2714.968012370894,0.0,1,1,0.0,5363.0
454,E(o),85.659,28.573,2019,10.62,5238,0,other,0,10.961849850626692,1.8926636214191397,10.961849850626692,1.8138372458415104,914.0648681954194,-0.016966661576163358,0,0,4479.37266025116,5239.0
455,M(e),85.602,28.562,2019,129.19,5361,0,moraine,0,120.59261996080954,108.78702650659224,120.59261996080954,2.3611186908434605,2714.968012370894,0.0,1,1,0.0,5363.0
456,E(o),85.616,28.548,2019,21.83,5443,0,other,0,491.737661091342,491.4220260850937,491.737661091342,0.0631270012496656,1847.5735731911204,0.0,1,1,0.0,5352.0
457,M(e),85.609,28.532,2019,540.55,5352,0,moraine,0,605.7510140562815,590.1245684299055,605.7510140562815,3.125289125275208,2570.2592331130572,0.0,1,5,0.0,5365.0
458,M(o),85.638,28.527,2019,31.01,5299,0,moraine,0,265.71484944443125,265.47816916652704,265.71484944443125,0.0473360555808426,1847.5735731911204,0.0,1,1,0.0,5352.0
459,M(e),85.636,28.494,2019,490.68,5278,0,moraine,0,444.1667849213354,469.7423301768055,444.1667849213354,-5.115109051094021,3571.565107283851,0.0,1,2,0.0,5278.0
460,M(e),85.736,28.485,2019,51.99,5335,0,moraine,0,55.96058884717961,4.025272881960485,55.96058884717961,10.387063193043826,14638.126103214247,0.0,1,1,0.0,5334.0
461,M(e),85.519,28.468,2019,43.67,4445,0,moraine,0,42.2333924470433,41.365048210554235,42.2333924470433,0.173668847297813,500.5016885592266,0.0,1,1,0.0,4445.0
462,M(o),85.684,28.46,2019,18.49,5705,0,moraine,0,18.789114713900208,14.76302044884096,18.789114713900208,0.8052188530118496,1537.364682360409,0.0,1,1,0.0,6447.0
463,M(e),85.564,28.426,2019,29.39,4873,0,moraine,0,26.929477177975865,34.67090713381638,26.929477177975865,-1.5482859911681033,3755.3151047202455,0.0,1,1,0.0,4862.0
464,M(o),85.588,28.405,2019,10.51,5251,0,moraine,0,23.54255660401385,35.539682729048906,23.54255660401385,-2.399425225007011,1078.0053296370138,0.0,1,2,0.0,5620.0
465,M(o),85.605,28.404,2019,12.01,5265,0,moraine,0,19.58909732727246,18.796734844137095,19.58909732727246,0.1584724966270727,619.2183487699464,0.0,1,2,0.0,5268.0
466,M(o),85.538,28.358,2019,10.83,4390,0,moraine,0,134.1131523581415,148.09996559174257,134.1131523581415,-2.797362646720211,1566.9701184640423,0.0,1,4,0.0,5942.0
467,M(o),85.63,28.163,2019,13.05,4986,0,moraine,0,99.03126056621704,39.264315449935616,99.03126056621704,11.953389023256282,974.9279082099331,0.0,1,7,0.0,5204.0
468,M(e),85.78,28.442,2019,48.25,5577,0,moraine,0,50.37697317910238,26.767206812978763,50.37697317910238,4.721953273224723,9465.998666416117,0.0,1,1,0.0,5577.0
469,E(o),85.89,28.371,2019,27.07,5242,0,other,0,317.6664421548544,327.70212608651633,317.6664421548544,-2.0071367863323872,1097.1066364329802,0.0,1,1,0.0,5221.0
470,M(e),85.871,28.36,2019,463.78,5212,0,moraine,0,437.4619295558108,457.7703246719498,437.4619295558108,-4.061679023227805,2226.648521515899,0.0,1,1,0.0,5226.0
471,M(o),85.869,28.329,2019,213.52,5167,0,moraine,0,191.9194239777159,200.93074708862176,191.9194239777159,-1.8022646221811784,2339.9838846440375,-0.0059286209281493064,0,0,1012.039742920952,5173.0
472,M(o),85.908,28.323,2019,14.56,5387,0,moraine,0,12.726823412021275,10.90891159663374,12.726823412021275,0.3635823630775075,163.03771100572536,0.0,1,1,0.0,5394.0
473,M(e),85.838,28.322,2019,540.35,5067,0,moraine,0,527.2612084928271,477.4623017430804,527.2612084928271,9.959781349949344,3760.914119426795,0.0,1,2,0.0,5096.0
474,M(o),85.93,28.321,2019,11.18,5298,0,moraine,0,31.85947818766557,28.460002900835093,31.85947818766557,0.6798950573660946,358.2901036489501,0.0,1,2,0.0,5234.0
475,M(o),85.948,28.313,2019,25.06,5227,0,moraine,0,31.85947818766557,28.460002900835093,31.85947818766557,0.6798950573660946,358.2901036489501,0.0,1,2,0.0,5234.0
476,E(c),85.819,28.297,2019,28.1,5080,0,other,0,134.2424220773451,131.31714467545925,134.2424220773451,0.5850554803771729,2339.9838846440375,0.0,1,1,0.0,5074.0
477,M(o),85.83,28.293,2019,28.5,5023,0,moraine,0,167.68259349386682,161.12072770107008,167.68259349386682,1.3123731585593474,2339.9838846440375,0.0,1,1,0.0,5067.0
478,O,85.915,28.261,2019,15.97,5106,0,other,0,8.700563780413358,7.435021583767423,8.700563780413358,0.253108439329187,36.75745349043571,-0.05866871169213016,0,0,4073.721632991978,5106.0
479,M(e),85.847,28.211,2019,61.34,4374,0,moraine,0,82.29886071739752,56.262999209146585,82.29886071739752,5.2071723016501865,1952.1009389621106,0.0,1,1,0.0,4939.0
480,E(o),85.923,28.182,2019,47.08,4355,0,other,0,39.893516680594104,32.45304763272767,39.893516680594104,1.4880938095732872,673.6832048346872,-0.03999688587310889,0,0,1575.1226282933392,4360.0
481,I(s),85.905,28.151,2019,12.6,4495,0,ice,1,46.31719364008402,9.343905253547398,46.31719364008402,7.3946576773073245,2415.8548552048624,0.0,1,3,0.0,5292.0
