,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha
1063,E(o),92.002,30.17,2019,13.35,5027,0,other,0,22.66412164532441
1064,O,92.413,30.199,2019,10.72,4955,0,other,0,5.976112563344361
1065,E(o),92.39,30.081,2019,13.71,4971,0,other,0,14.842010464121575
1066,E(o),92.406,30.078,2019,28.02,5038,0,other,0,14.842010464121575
1067,E(o),92.745,30.754,2019,18.7,4872,0,other,0,15.35688673444201
1068,E(o),92.735,30.507,2019,29.87,5140,0,other,0,20.19307389243923
1069,E(o),92.646,30.494,2019,98.02,4817,0,other,0,108.02016671824974
1070,E(o),92.679,30.438,2019,11.44,5111,0,other,0,9.910074374350785
1071,E(o),92.743,30.381,2019,15.7,5132,0,other,0,18.286836931040497
1072,E(o),92.735,30.35,2019,87.32,5112,0,other,0,69.51058814493842
1073,E(o),92.682,30.292,2019,14.59,5168,0,other,0,12.63877436412319
1074,O,92.511,30.288,2019,11.27,5182,0,other,0,6.97873433664228
1075,E(o),92.596,30.256,2019,17.98,5021,0,other,0,19.007478185979753
1076,O,92.503,30.253,2019,21.86,5056,0,other,0,15.591344060909282
1077,E(o),92.549,30.237,2019,33.39,5061,0,other,0,27.6191102699936
1078,O,92.563,30.231,2019,23.52,5048,0,other,0,27.6191102699936
1079,O,92.536,30.218,2019,12.44,5017,0,other,0,37.790254335009735
1080,E(o),92.569,30.217,2019,17.84,5037,0,other,0,27.083361206610682
1081,O,92.517,30.216,2019,48.36,4981,0,other,0,37.790254335009735
1082,E(o),92.573,30.21,2019,32.43,5037,0,other,0,27.083361206610682
1083,O,92.541,30.189,2019,42.22,4955,0,other,0,29.6506061671108
1084,E(o),92.99,30.999,2019,18.44,5010,0,other,0,12.00778511186693
1085,O,92.832,30.996,2019,23.34,4830,0,other,0,9.083143278325041
1086,O,92.889,30.988,2019,13.11,4956,0,other,0,7.698247548722269
1087,E(o),92.941,30.976,2019,441.76,4904,0,other,0,417.0648044705204
1088,O,92.825,30.957,2019,16.94,4920,0,other,0,151.19808968978856
1089,O,92.867,30.956,2019,23.23,4890,0,other,0,96.26708881265354
1090,O,92.89,30.949,2019,118.54,4892,0,other,0,96.26708881265354
1091,O,92.828,30.935,2019,222.71,4886,0,other,0,202.1149069741277
1092,E(o),92.775,30.934,2019,122.17,4835,0,other,0,109.4536765109055
1093,E(o),92.817,30.906,2019,177.1,4960,0,other,0,167.42588704776242
1094,E(o),92.91,30.896,2019,266.63,4923,0,other,0,236.56286844393705
1095,E(o),92.951,30.894,2019,205.95,4958,0,other,0,170.52821232599308
1096,O,92.86,30.893,2019,12.43,4921,0,other,0,33.21677263857523
