Unnamed: 0,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,expansion_ha_peryr_5y,expansion_ha_peryr_10y
1464,E(o),93.989,30.249,2023,23.37,4320,0,other,0,23.349389259096288,-1.5821685741931415,-0.0465422705134145
1465,M(e),93.798,30.2,2023,20.39,4195,0,moraine,0,131.634429898865,3.3209668068556226,8.018650011095227
1466,E(c),93.755,30.088,2023,21.21,4840,0,other,0,24.86081124707132,-2.035490124573574,1.1651954560363087
1467,E(c),93.974,30.075,2023,15.8,4615,0,other,0,90.9073252399018,1.973292056335214,8.103828954865312
1468,O,93.781,30.059,2023,20.24,3751,0,other,0,19.589708928092772,0.7002706421513671,0.3501340490773085
1469,E(v),93.967,30.02,2023,2658.4,3475,0,other,0,1133.8916690562553,-0.6686789701005637,-0.0854966104678624
1470,M(o),93.018,29.809,2023,11.17,5360,0,moraine,0,22.517794655437037,0.3584075491102069,1.1998933985960791
1471,E(c),93.115,29.764,2023,23.92,5076,0,other,0,25.48909817400186,0.7948624810316289,0.3272738563353922
1472,E(o),93.123,29.758,2023,10.51,5099,0,other,0,39.05233832662839,2.884059879643081,0.5768137800902402
1473,E(o),93.149,29.747,2023,15.14,4943,0,other,0,39.05235237835446,-0.4539151425034049,0.5768151852628478
1474,E(o),93.068,29.693,2023,16.51,4939,0,other,0,17.16449935863323,0.1092365301189758,0.2655107785837348
1475,E(o),93.199,29.58,2023,16.98,5180,0,other,0,12.8857032745491,0.0624766063718432,0.1640006036363754
1476,E(o),93.236,29.532,2023,11.28,5018,0,other,0,10.548963240353032,0.375066150778354,0.1562777661321844
1477,E(o),93.177,29.52,2023,13.09,5210,0,other,0,16.40696317445488,-0.2500035243659802,0.6795544867576927
1478,E(c),93.385,30.0,2023,20.57,4873,0,other,0,17.02964578132294,-11.444723671438108,0.3731337011597338
1479,E(o),93.25,29.948,2023,10.39,5069,0,other,0,11.359581644367918,0.1557420194023457,0.7312919564609475
1480,E(o),93.498,29.732,2023,30.64,4476,0,other,0,28.071888104914937,-0.7792823839201362,-0.1637507326434921
1481,E(o),93.427,29.716,2023,12.7,5001,0,other,0,34.230269689797886,-1.9649525167444124,0.7716398690067845
1482,E(o),93.275,29.658,2023,13.27,4967,0,other,0,11.628341293075009,-0.4831702730588293,0.0937600897035235
1483,M(e),93.337,29.65,2023,26.37,4738,0,moraine,0,31.612308268168754,-1.9982192938852976,0.4840452430572288
1484,M(o),93.253,29.648,2023,11.73,5137,0,moraine,0,88.90462699752912,-5.323136839961222,6.057094687121522
1485,E(o),93.427,29.603,2023,11.69,4512,0,other,0,6.792714907784111,-0.0622192892318878,-0.0078073445685205
1486,E(o),93.465,29.601,2023,32.35,4604,0,other,0,24.204488987962357,0.015614382260545,0.2108063300992512
1487,E(o),93.269,29.555,2023,13.97,4784,0,other,0,25.54633780460699,-3.593735677668328,1.1405794328704932
1488,E(o),93.345,29.541,2023,100.03,4631,0,other,0,88.9070351155751,0.2500148346879143,0.1640586860485328
1489,E(o),93.548,29.644,2023,19.85,4738,0,other,0,40.199904070763864,-0.0778998902683667,-0.1638399173534608
1490,E(o),93.561,29.63,2023,44.35,4563,0,other,0,53.946495035073326,-0.1249205370509088,1.2108191790774854
1491,E(o),93.588,29.606,2023,17.97,4734,0,other,0,41.38464288656631,-0.765605420215779,3.107873691245751
1492,E(o),93.528,29.605,2023,20.77,4995,0,other,0,50.82383935006183,-1.3724136020694204,1.9287977545207469
1493,E(o),93.524,29.598,2023,12.48,4945,0,other,0,29.19881529103003,-0.3122746071640833,0.8275626834827523
1494,E(o),93.731,29.594,2023,34.03,4549,0,other,0,39.43241673226331,3.763802808864731,2.006741501899631
1495,E(c),93.746,29.585,2023,10.59,4699,0,other,0,39.43241673226331,3.763802808864731,2.006741501899631
1496,E(o),93.673,29.52,2023,30.15,4549,0,other,0,32.123560621003165,-0.3908242467642324,0.9931171659043316
1497,O,93.62,29.513,2023,79.97,4362,0,other,0,43.75981750827079,4.343921525592106,1.531474442023184
1498,E(o),93.714,29.512,2023,39.25,4344,0,other,0,31.806133894171165,1.4535070740151057,0.2969559954713133
1499,E(o),93.631,29.477,2023,82.79,4369,0,other,0,70.20143433680232,0.422136445175181,0.1563435238888871
1500,E(o),93.621,29.458,2023,15.28,4856,0,other,0,59.492613189017085,0.2970703536253282,0.101627773393178
1501,E(o),93.62,29.452,2023,11.1,4894,0,other,0,76.01547159249456,-1.5797202955511949,1.9003738269969648
1502,E(o),93.715,29.443,2023,14.82,4414,0,other,0,27.37214096885708,1.908194050722647,1.8535477830521472
1503,E(o),93.972,29.95,2023,21.53,4239,0,other,0,37.89203298443419,0.2023277798603416,2.5754107122966245
1504,E(o),93.889,29.924,2023,11.86,4453,0,other,0,39.93007920169035,-5.355139738914639,2.8255853035163696
1505,E(o),93.897,29.907,2023,13.27,4492,0,other,0,24.284382426841795,-9.060007726386868,1.2610156260315142
1506,E(c),93.993,29.891,2023,16.5,4552,0,other,0,24.131309767850873,-13.263961084749678,1.0818338989559932
1507,E(o),93.839,29.878,2023,18.71,4592,0,other,0,30.285412182498455,-3.0362780607456115,1.4557077140688444
1508,E(c),93.752,29.657,2023,15.21,4490,0,other,0,60.79386207865226,0.0935815168227975,4.869715733298351
1509,E(o),93.779,29.621,2023,15.45,4409,0,other,0,4.528154018083775,-1.8426804325130508,0.2810817172603329
1510,E(o),93.91,29.613,2023,11.21,4622,0,other,0,10.61838860431408,-2.3734852060273477,0.3904418234605202
1511,E(o),93.929,29.589,2023,18.93,4669,0,other,0,24.208569926890053,1.0939663717672468,1.5150116462116492
1512,E(o),93.897,29.587,2023,33.63,4786,0,other,0,24.208569926890053,-0.3902908655280761,0.0547446508665718
1513,E(o),93.902,29.568,2023,11.96,4610,0,other,0,24.208569926890053,-0.3902908655280761,0.0547446508665718
1514,O,93.879,29.558,2023,11.57,4479,0,other,0,8.515445668226057,-0.5312358556287553,0.1172916443989242
1515,E(c),93.91,29.545,2023,21.21,4840,0,other,0,14.921249691767496,-1.9993116568755016,-0.0156259915027986
1516,E(o),93.83,29.542,2023,56.22,4419,0,other,0,27.1097196649043,4.750067437502819,1.4687376195477624
1517,E(o),93.981,29.524,2023,11.62,4276,0,other,0,21.0182454351519,0.0937557071760238,0.1875231740569898
1518,E(o),93.911,29.506,2023,40.89,4555,0,other,0,44.78283529202746,4.001732967327639,0.6096169952068159
1519,E(o),93.806,29.506,2023,21.65,4504,0,other,0,8.67641500877827,0.2501349420511426,0.218861454572725
1520,E(o),93.888,29.504,2023,17.72,4619,0,other,0,28.91635577003501,1.203559221474969,0.3126083411559893
1521,E(o),93.937,29.502,2023,56.29,4444,0,other,0,45.32995157395055,4.15804779265626,0.648696658327404
1522,E(c),93.963,29.491,2023,13.03,4704,0,other,0,26.338978268013772,3.376366168202233,0.359527225556371
1523,E(o),94.123,30.132,2023,12.34,4318,0,other,0,133.05697045875183,-5.327851309078881,6.284836786101449
1524,E(o),94.09,30.126,2023,276.68,3802,0,other,0,271.61002887022556,0.0155346645814233,-0.0233024075166611
1525,M(e),94.188,30.115,2023,94.4,3905,0,moraine,0,94.32111079827494,-1.2896794812779746,0.3438422799940142
1526,E(o),94.189,30.064,2023,35.47,4616,0,other,0,73.6623282587406,-4.988429687268635,5.415523300038009
1527,E(o),94.157,30.046,2023,107.17,4294,0,other,0,94.85308815383088,0.517083880171225,0.9425671027468482
1528,E(o),94.123,30.019,2023,11.82,4356,0,other,0,123.78809184396664,2.581209201870993,10.815881659749156
1529,M(e),94.27,30.099,2023,68.1,3924,0,moraine,0,89.96745904468693,-5.329910199734695,0.4816930811177357
1530,O,94.161,29.948,2023,19.33,4052,0,other,0,12.916225012751346,-0.9652655841083242,0.3656984878248231
1531,O,94.093,29.941,2023,16.7,4059,0,other,0,28.174376861630723,-0.918392019969304,2.4205756680619865
1532,E(o),94.209,29.896,2023,28.27,4444,0,other,0,19.46235572224833,-0.1861503384943297,0.4748820996677514
1533,E(o),94.207,29.881,2023,13.62,4448,0,other,0,19.46235572224833,-0.1401281802122298,0.4748820996677514
1534,E(o),94.155,29.856,2023,10.11,4320,0,other,0,6.932899844127838,-0.6540523828481268,0.3427539754266149
1535,E(o),94.16,29.834,2023,12.74,4390,0,other,0,7.789851445806348,-0.4208647076839556,-0.0778979831415479
1536,E(o),94.135,29.833,2023,16.2,4723,0,other,0,47.60415416946738,3.054228619218249,1.0362289969583884
1537,E(c),94.133,29.817,2023,45.22,4558,0,other,0,47.60415416946738,3.054228619218249,1.0362289969583884
1538,E(o),94.212,29.658,2023,16.43,4583,0,other,0,10.222479590562736,0.6710951270462923,0.733520654655326
1539,E(o),94.185,29.645,2023,11.91,4503,0,other,0,6.712434965202701,-0.5148000689546544,0.2107396927774141
1540,E(o),94.169,29.636,2023,12.66,4808,0,other,0,10.304597226322509,-2.028225528129563,0.5699559188893949
1541,E(o),94.099,29.632,2023,17.46,4711,0,other,0,22.558438254086372,1.2020211655565916,1.334797821819076
1542,E(o),94.163,29.622,2023,12.48,4716,0,other,0,17.956347060130362,0.0468441374522704,-0.062457268434451
1543,E(o),94.154,29.611,2023,25.65,4690,0,other,0,17.956347060130362,0.0468441374522704,-0.062457268434451
1544,E(o),94.076,29.601,2023,20.8,4730,0,other,0,18.270524987157273,0.3279386897354449,0.1093134112659676
1545,E(o),94.113,29.578,2023,14.46,4509,0,other,0,34.98992953276246,3.3584457655041455,2.897617582683855
1546,E(o),94.139,29.573,2023,12.26,4673,0,other,0,31.39711502138439,2.717983682219537,2.5383361315460475
1547,E(o),94.242,29.556,2023,17.57,4598,0,other,0,10.857778288997686,1.7027996434007409,0.1015497635493428
1548,E(o),94.087,29.555,2023,12.53,4751,0,other,0,37.88953920178177,6.328207960627685,0.0703095937826653
1549,E(o),94.111,29.551,2023,12.32,4578,0,other,0,34.98992953276246,3.3584457655041455,2.0145641496823847
1550,E(o),94.12,29.55,2023,24.97,4579,0,other,0,34.98992953276246,3.3584457655041455,2.0145641496823847
1551,E(o),94.067,29.545,2023,50.77,4299,0,other,0,56.72710893805354,8.219903021818416,-0.10938984709612
1552,E(o),94.086,29.543,2023,14.75,4631,0,other,0,37.88953920178177,6.234118324729691,0.0703095937826653
1553,E(o),94.113,29.538,2023,36.72,4520,0,other,0,99.47641894728324,3.6258623353930206,1.617562747973409
1554,E(o),94.034,29.537,2023,25.24,4509,0,other,0,57.8992644565591,4.78161570325216,-0.0781314195151239
1555,E(c),94.076,29.529,2023,13.47,4691,0,other,0,58.52433171897013,4.781596202896807,-0.0468780453977338
1556,E(o),94.001,29.529,2023,31.13,4262,0,other,0,21.0182454351519,0.0937557071760238,0.1875231740569898
1557,E(o),94.057,29.526,2023,78.0,4533,0,other,0,58.52433171897013,4.687824441011981,-0.0468780453977338
1558,E(o),94.098,29.522,2023,11.8,4520,0,other,0,85.56741973706774,3.219527127072408,1.3128123464232189
1559,E(o),94.121,29.518,2023,118.34,4501,0,other,0,99.47641894728324,3.6258623353930206,1.617562747973409
1560,E(o),94.028,29.507,2023,11.22,4737,0,other,0,22.11833304263478,-0.0929704569754605,0.6015396553866289
1561,E(o),94.133,29.505,2023,101.69,4577,0,other,0,99.47641894728324,3.6258623353930206,1.617562747973409
1562,E(o),94.192,29.499,2023,10.99,4490,0,other,0,5.393187579646622,-0.7035401846107332,0.078160517692262
1563,E(o),94.155,29.499,2023,13.64,4720,0,other,0,89.09506169531745,8.362269608111927,0.9222022950206464
1564,E(o),94.178,29.493,2023,15.99,4512,0,other,0,5.393187579646622,-0.7035401846107332,0.078160517692262
1565,E(o),94.131,29.491,2023,12.02,4608,0,other,0,89.09506169531745,8.362269608111927,0.9222022950206464
1566,E(o),94.151,29.475,2023,14.43,4632,0,other,0,15.40304019409057,-0.3909431126431958,0.5631020666227002
1567,E(o),94.194,29.475,2023,14.33,4420,0,other,0,10.085038172371789,-0.7035595160567951,0.5473455769647787
1568,E(o),94.236,29.472,2023,50.8,4509,0,other,0,40.33994811761877,-0.2970819818909774,0.9928558479997788
1569,E(o),94.213,29.472,2023,16.17,4432,0,other,0,40.33994811761877,-0.2970819818909774,0.9928558479997788
1570,E(o),94.162,29.47,2023,12.19,4602,0,other,0,15.40304019409057,-0.3909431126431958,0.5631020666227002
1571,E(o),94.168,29.447,2023,10.83,4730,0,other,0,15.40304019409057,-0.3909431126431958,1.0086817208726846
1572,E(o),94.186,29.426,2023,10.18,4487,0,other,0,17.520870968195545,0.3285230394746093,1.313989048106441
1573,E(o),94.197,29.424,2023,18.25,4316,0,other,0,13.061980942158726,0.1876437534240889,0.6959877298861648
1574,E(o),94.251,29.965,2023,19.39,4289,0,other,0,32.524862059613724,-3.019007198073254,0.2334615710852336
1575,E(c),94.28,29.915,2023,183.14,4385,0,other,0,164.5417150652995,0.3424366938052628,0.7472217778311488
1576,E(o),94.365,29.906,2023,11.51,4391,0,other,0,57.200380134955296,-3.5865926408192847,1.875538200472587
1577,E(o),94.294,29.897,2023,13.12,4465,0,other,0,121.11382988617038,-0.0467005297769162,0.6226970003245157
1578,E(o),94.284,29.894,2023,24.56,4288,0,other,0,118.54545852327432,-0.0311343752584548,0.6226971952814736
1579,E(o),94.266,29.886,2023,26.51,4265,0,other,0,41.88871943222713,-5.091960232458312,0.8183823117005928
1580,O,94.377,29.881,2023,12.37,4575,0,other,0,42.35470844745944,-6.867175663366015,3.013116544492168
1581,E(o),94.363,29.829,2023,15.32,4612,0,other,0,15.270136455741248,0.4830345159256829,0.6933903104836711
1582,E(o),94.282,29.829,2023,14.73,4403,0,other,0,31.62880839506377,1.075039162543574,2.8668508979130247
1583,E(o),94.462,29.828,2023,57.27,4133,0,other,0,50.79764555038065,-4.175877652166494,-2.02560936634292
1584,E(o),94.358,29.819,2023,24.21,4439,0,other,0,15.270136455741248,0.4830345159256829,0.6933903104836711
1585,O,94.433,29.813,2023,228.43,4083,0,other,0,179.1275476432554,-4.253783622820111,-1.1139609575378842
1586,E(o),94.448,29.78,2023,23.84,4412,0,other,0,51.13027417454627,4.317895258562474,3.686730698592131
1587,E(o),94.465,29.768,2023,13.38,4463,0,other,0,51.13027417454627,4.317895258562474,3.686730698592131
1588,E(o),94.482,29.767,2023,18.0,4417,0,other,0,17.071673396632058,-0.8886756474197192,0.4677584260992063
1589,E(c),94.461,29.744,2023,16.75,4534,0,other,0,24.48479338705602,0.1559452163067511,-0.0857796559909783
1590,E(o),94.483,29.732,2023,37.2,4552,0,other,0,24.796706513179416,0.2183278415314305,-0.070183986465641
1591,E(o),94.494,29.682,2023,17.55,4529,0,other,0,12.48255691790373,2.282487995941551e-06,0.6007226994318825
1592,M(o),94.276,29.574,2023,10.49,4609,0,moraine,0,7.496470440943265,0.4371933998055141,0.2107595550334441
1593,E(o),94.343,29.528,2023,14.61,4312,0,other,0,4.844427384790319,0.2031532210654509,0.4531885874095106
1594,E(o),94.519,29.849,2023,17.7,4594,0,other,0,11.603669626154474,-0.2647756478171725,0.1790002041389677
1595,O,94.501,29.808,2023,55.81,4305,0,other,0,39.58241060881696,-8.465661329637441e-06,0.7713947831470683
1596,E(o),94.516,29.785,2023,27.91,4497,0,other,0,19.79563496633232,-0.0779453477238803,0.2415958693585103
1597,E(o),94.527,29.782,2023,18.97,4585,0,other,0,19.79563496633232,-0.0779453477238803,0.2415958693585103
1598,E(o),91.646,29.462,2023,10.39,5296,0,other,0,7.662218107398941,0.0312744619884778,0.2580140536794258
1599,E(o),91.971,29.43,2023,20.31,5197,0,other,0,15.407466457239131,-0.0469265964854983,0.0469267860861963
1600,E(o),92.02,29.536,2023,18.57,5130,0,other,0,15.469587546794756,1.350285312895494e-07,0.0390635612322428
1601,E(o),92.451,29.56,2023,20.94,4921,0,other,0,14.450501975240616,0.0468638824902324,0.3280686417198035
1602,E(o),92.479,29.547,2023,15.93,5077,0,other,0,11.640015155168832,0.0468727360373677,-0.0078119087664394
1603,E(o),92.491,29.526,2023,11.23,5279,0,other,0,11.640015155168832,0.0468727360373677,-0.0078119087664394
1604,E(o),92.459,29.51,2023,23.75,5077,0,other,0,19.224755265315373,0.109409984108985,0.0937794285854575
1605,E(o),92.464,29.505,2023,12.37,5103,0,other,0,19.224755265315373,0.109409984108985,0.0937794285854575
1606,E(o),92.47,29.503,2023,11.62,5161,0,other,0,19.224755265315373,0.109409984108985,0.0937794285854575
1607,M(e),92.453,29.355,2023,12.87,5072,0,moraine,0,14.55799332563572,0.0939236396072363,0.2113264743647219
1608,O,92.373,29.334,2023,12.3,5065,0,other,0,7.2021507791742625,-0.187881793215284,-0.0078277976795643
1609,M(o),92.431,29.331,2023,20.13,5217,0,moraine,0,16.048897512638586,-0.7826077185005765,0.1487470185815539
1610,E(o),92.434,29.316,2023,12.78,4911,0,other,0,16.048897512638586,0.3914408530743987,0.1487470185815539
1611,E(c),92.453,29.287,2023,23.36,4890,0,other,0,20.28514291127718,0.0313279809383857,0.2506296976240996
1612,E(o),92.443,29.195,2023,22.46,4984,0,other,0,28.848387854459222,-0.1881424229239208,-0.0548515813635283
1613,E(o),92.687,29.541,2023,15.98,5120,0,other,0,10.312594175848432,-0.0468757868091053,0.0234378394419497
1614,E(o),92.521,29.532,2023,22.44,5249,0,other,0,19.22043294749066,0.4062798225546594,0.1093852010271696
1615,E(o),92.511,29.524,2023,15.08,5266,0,other,0,19.22043294749066,0.4062798225546594,0.1093852010271696
1616,E(o),92.739,29.517,2023,24.01,4930,0,other,0,18.28559897457128,0.1250295444411961,0.015628282758076
1617,E(o),92.681,29.517,2023,11.55,5276,0,other,0,9.375109772788846,-0.0625006457341857,0.0078127412577865
1618,M(e),92.644,29.488,2023,12.89,5225,0,moraine,0,12.116187167222588,-0.0780793238559816,0.0156766140205581
1619,E(o),92.549,29.39,2023,33.54,4947,0,other,0,27.38452954156359,-0.344265275062515,-0.1486602939810399
1620,E(c),92.651,29.3,2023,22.22,5149,0,other,0,16.445324949395843,0.2349267651581605,0.101804902217947
1621,E(o),92.656,29.283,2023,15.24,5050,0,other,0,16.445324949395843,0.2349267651581605,0.101804902217947
1622,E(o),92.625,29.226,2023,16.34,5115,0,other,0,13.24415919920455,-0.0313478124350286,1.5886516219865144e-06
1623,E(o),92.8,29.666,2023,36.7,5126,0,other,0,34.7227346535595,0.1404523751403445,0.2106798836508318
1624,E(o),92.783,29.656,2023,14.97,5123,0,other,0,34.7227346535595,0.1404523751403445,0.2106798836508318
1625,E(o),92.835,29.656,2023,20.35,4997,0,other,0,17.948278165933004,0.0312134497791113,0.0936426654186931
1626,E(o),92.791,29.581,2023,15.11,4884,0,other,0,10.776958074056624,0.0937114496799189,-0.0078093610834532
1627,E(o),92.802,29.276,2023,15.87,5207,0,other,0,10.887701726780708,0.1096575040261637,-0.0078332737517394
1628,E(o),92.996,29.25,2023,27.64,4810,0,other,0,19.43064694073272,0.2811963812670875,0.0705153575947832
1629,E(o),92.984,29.202,2023,12.02,5013,0,other,0,18.967030127940205,-0.3135362082147616,1.1677130854752176
1630,O,92.111,28.705,2023,38.58,4780,0,other,0,0.157526681854403,,-0.1575228428825967
1631,E(o),92.16,28.648,2023,19.85,4976,0,other,0,14.579054881575289,-0.0472837639253398,0.0788073383350202
1632,O,92.253,28.976,2023,14.68,4824,0,other,0,10.055402704353362,-0.5341922374895421,-0.3770776499959455
1633,E(o),93.173,29.437,2023,16.23,5034,0,other,0,10.166738332872542,1.2512960715366126,0.0860257690771664
1634,E(o),93.093,29.31,2023,14.42,4819,0,other,0,8.300094166212972,0.6107646202505184,0.2897211623091374
1635,E(o),93.117,29.284,2023,13.2,4765,0,other,0,6.735819865472102,0.7831369198206841,0.0469942877717002
1636,E(o),93.043,29.246,2023,12.13,5086,0,other,0,10.265726254193725,0.5956770218234586,0.3135097210941778
1637,E(o),93.038,29.238,2023,13.89,4976,0,other,0,10.265726254193725,0.5956770218234586,0.3135097210941778
1638,E(o),93.069,29.157,2023,15.68,4461,0,other,0,13.096180782715871,0.3138303434351833,0.1960514832379924
1639,E(o),93.454,29.555,2023,13.05,4911,0,other,0,61.31144102806393,3.983337706900471,4.990823987855875
1640,E(o),93.39,29.533,2023,26.45,4799,0,other,0,17.501457823791064,0.25002430322943,0.2187694257023102
1641,E(o),93.47,29.525,2023,46.03,4686,0,other,0,35.08342171511409,-0.2500761303087628,-0.0078275499814061
1642,E(o),93.367,29.514,2023,19.73,4869,0,other,0,15.004092108313245,0.2813290156565468,-0.0312583658639701
1643,E(o),93.497,29.503,2023,10.36,4822,0,other,0,15.15987988428176,0.2500547735970649,0.5390041979523991
1644,E(o),93.303,29.494,2023,11.32,4971,0,other,0,18.916710637977538,0.2345048190878536,0.0234498664093663
1645,E(o),93.299,29.485,2023,24.69,4947,0,other,0,18.916710637977538,0.2345048190878536,0.0234498664093663
1646,E(o),93.299,29.476,2023,20.93,4846,0,other,0,18.916710637977538,0.2345048190878536,0.0234498664093663
1647,E(o),93.412,29.444,2023,10.74,4797,0,other,0,3.3625874104493714,-0.0156388251731764,-0.078199693914216
1648,E(o),93.254,29.439,2023,14.15,4755,0,other,0,7.507601629501123,-0.0312784675627455,0.1329456886780353
1649,E(o),93.291,29.421,2023,44.79,4644,0,other,0,30.03566404514965,-0.0469248488617573,0.0391067698641418
1650,E(o),93.319,29.399,2023,24.37,4757,0,other,0,16.97694965234776,-0.1099281920310922,0.164292095767148
1651,E(o),93.265,29.322,2023,26.11,4951,0,other,0,17.224695502760646,2.0356710209002555,-0.0234884355492678
1652,E(o),93.424,29.296,2023,15.29,4648,0,other,0,9.241046312692443,1.4722586280508076,0.8692845538127478
1653,E(o),93.285,29.27,2023,10.41,5066,0,other,0,5.640053236270376,0.4543381953710084,0.5013222639190718
