Latitude,Longitude,Subbasin,GL Type,Area (ha),Elevation (m)
30.494,92.646,Lhasa Tsangpo,E(o),98.02,"4,817"
30.35,92.735,Lhasa Tsangpo,E(o),87.32,"5,112"
30.976,92.941,Lhasa Tsangpo,E(o),441.76,"4,904"
30.949,92.89,Lhasa Tsangpo,O,118.54,"4,892"
30.935,92.828,Lhasa Tsangpo,O,222.71,"4,886"
30.934,92.775,Lhasa Tsangpo,E(o),122.17,"4,835"
30.906,92.817,Lhasa Tsangpo,E(o),177.1,"4,960"
30.896,92.91,Lhasa Tsangpo,E(o),266.63,"4,923"
30.894,92.951,Lhasa Tsangpo,E(o),205.95,"4,958"
30.879,92.881,Lhasa Tsangpo,E(o),52.44,"4,982"
29.779,92.388,Lhasa Tsangpo,E(o),154.54,"4,916"
29.667,92.394,Lhasa Tsangpo,E(o),53.86,"4,677"
31.132,93.177,Lhasa Tsangpo,O,692.16,"5,007"
31.103,93.144,Lhasa Tsangpo,E(o),101.01,"5,024"
31.004,93.088,Lhasa Tsangpo,E(o),71.5,"5,040"
31.065,93.292,Lhasa Tsangpo,E(o),51.21,"5,047"
28.278,90.226,Upper Yarlung Tsangpo,M(e),86.59,"5,301"
28.245,90.185,Upper Yarlung Tsangpo,M(e),60.02,"5,455"
28.546,91.525,Upper Yarlung Tsangpo,O,101.76,"5,083"
28.273,90.736,Manas,M(e),167.03,"4,510"
28.241,90.724,Manas,M(e),88.56,"4,654"
28.123,90.566,Manas,M(e),67.52,"5,172"
28.096,90.738,Manas,M(e),67.74,"5,004"
28.086,90.787,Manas,M(e),216.41,"5,165"
28.059,90.903,Manas,E(o),52.05,"4,768"
28.003,90.905,Manas,E(o),87.32,"4,754"
28.351,91.079,Manas,M(e),77.2,"4,787"
28.034,91.003,Manas,E(o),76.9,"4,200"
28.088,91.257,Manas,E(o),56.11,"4,630"
28.037,90.364,Manas,M(e),84.1,"5,216"
28.014,90.374,Manas,M(e),72.68,"5,182"
28.022,90.709,Manas,M(e),145.52,"4,868"
27.89,90.29,Manas,M(e),114.2,"5,059"
27.939,90.535,Manas,E(c),59.94,"5,036"
27.861,90.591,Manas,E(o),74.98,"4,770"
27.867,90.816,Manas,E(o),53.98,"4,135"
28.037,91.452,Manas,M(o),56.24,"4,737"
28.102,91.942,Manas,E(o),117.73,"4,705"
28.059,91.939,Manas,E(o),240.03,"4,631"
27.838,91.605,Manas,O,66.35,"4,125"
27.834,91.553,Manas,E(c),67.23,"4,521"
27.901,91.896,Manas,O,217.48,"4,452"
27.841,91.892,Manas,O,145.65,"4,638"
27.519,92.033,Manas,E(o),60.79,"4,274"
27.771,92.435,Manas,M(o),55.56,"5,179"
30.621,93.181,Lower Yarlung Tsangpo,O,689.79,"4,499"
30.535,93.058,Lower Yarlung Tsangpo,E(o),86.74,"4,817"
30.521,93.445,Lower Yarlung Tsangpo,M(o),114.42,"4,780"
30.355,93.632,Lower Yarlung Tsangpo,M(e),54.25,"4,442"
30.654,94.492,Lower Yarlung Tsangpo,M(e),530.64,"3,942"
30.626,94.444,Lower Yarlung Tsangpo,M(e),66.04,"4,095"
30.452,94.603,Lower Yarlung Tsangpo,M(e),181.75,"3,998"
30.537,94.759,Lower Yarlung Tsangpo,M(e),51.12,"3,631"
30.049,92.443,Lower Yarlung Tsangpo,E(o),52.8,"4,993"
30.267,93.457,Lower Yarlung Tsangpo,M(o),70.57,"4,076"
30.242,93.638,Lower Yarlung Tsangpo,M(e),108.96,"4,181"
30.261,93.764,Lower Yarlung Tsangpo,M(e),64.75,"4,019"
30.02,93.967,Lower Yarlung Tsangpo,E(v),2658.49,"3,475"
29.541,93.345,Lower Yarlung Tsangpo,E(o),100.03,"4,631"
29.513,93.62,Lower Yarlung Tsangpo,O,79.97,"4,362"
29.477,93.631,Lower Yarlung Tsangpo,E(o),82.79,"4,369"
29.542,93.83,Lower Yarlung Tsangpo,E(o),56.22,"4,419"
29.502,93.937,Lower Yarlung Tsangpo,E(o),56.29,"4,444"
30.126,94.09,Lower Yarlung Tsangpo,E(o),276.68,"3,802"
30.115,94.188,Lower Yarlung Tsangpo,M(e),94.4,"3,905"
30.046,94.157,Lower Yarlung Tsangpo,E(o),107.17,"4,294"
30.099,94.27,Lower Yarlung Tsangpo,M(e),68.1,"3,924"
29.545,94.067,Lower Yarlung Tsangpo,E(o),50.77,"4,299"
29.526,94.057,Lower Yarlung Tsangpo,E(o),78,"4,533"
29.518,94.121,Lower Yarlung Tsangpo,E(o),118.34,"4,501"
29.505,94.133,Lower Yarlung Tsangpo,E(o),101.69,"4,577"
29.472,94.236,Lower Yarlung Tsangpo,E(o),50.8,"4,509"
29.915,94.28,Lower Yarlung Tsangpo,E(c),183.14,"4,385"
29.828,94.462,Lower Yarlung Tsangpo,E(o),57.27,"4,133"
29.813,94.433,Lower Yarlung Tsangpo,O,228.43,"4,083"
29.808,94.501,Lower Yarlung Tsangpo,O,55.81,"4,305"
29.24,93.276,Lower Yarlung Tsangpo,E(o),58.59,"4,914"
29.405,93.708,Lower Yarlung Tsangpo,E(o),74.32,"4,505"
29.287,93.736,Lower Yarlung Tsangpo,E(o),59.16,"4,562"
29.035,93.836,Lower Yarlung Tsangpo,O,67.89,"4,116"
28.856,94,Lower Yarlung Tsangpo,E(o),73.89,"3,868"
29.545,94.965,Lower Yarlung Tsangpo,E(c),91.95,"4,300"
28.986,94.27,Lower Yarlung Tsangpo,E(o),50.66,"3,478"
28.342,93.092,Subansiri,E(o),62.44,"4,251"
28.32,93.047,Subansiri,E(o),72.68,"4,255"
27.98,92.651,Subansiri,M(e),52.21,"4,988"
28.116,92.951,Subansiri,E(c),55.58,"4,648"
30.174,94.346,Lower Yarlung Tsangpo,E(v),180.8,"3,654"
30.073,94.464,Lower Yarlung Tsangpo,E(o),90.19,"4,110"
30.013,94.472,Lower Yarlung Tsangpo,E(c),66.38,"4,327"
30.005,94.384,Lower Yarlung Tsangpo,E(o),59.09,"4,020"
29.959,94.292,Lower Yarlung Tsangpo,E(v),134.02,"4,282"
29.947,94.358,Lower Yarlung Tsangpo,E(o),109.97,"4,148"
29.896,94.461,Lower Yarlung Tsangpo,E(o),85.25,"4,346"
29.89,94.569,Lower Yarlung Tsangpo,E(v),158.02,"4,149"
29.829,94.633,Lower Yarlung Tsangpo,E(v),60.2,"4,231"
29.779,94.601,Lower Yarlung Tsangpo,E(v),184.22,"4,146"
30.603,95.182,Lower Yarlung Tsangpo,M(e),110.12,"4,278"
30.473,95.575,Lower Yarlung Tsangpo,E(o),56.47,"4,866"
30.251,95.604,Lower Yarlung Tsangpo,M(o),134.45,"4,442"
30.221,95.584,Lower Yarlung Tsangpo,M(e),85.49,"4,342"
29.598,96.141,Lower Yarlung Tsangpo,M(o),65.09,"4,025"
29.823,96.351,Lower Yarlung Tsangpo,M(o),101.06,"4,870"
29.18,95.486,Dihang,E(o),93.81,"3,533"
29.304,95.64,Dihang,E(v),70.17,"3,322"
29.371,95.873,Dihang,E(o),103.75,"4,344"
29.129,95.439,Dibang,E(o),53.88,"3,284"
29.011,95.885,Dibang,E(o),55.15,"3,778"
