,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,area_t1,area_t2,expansion_ha_peryr
57,E(c),73.911,35.972,2019,29.25,4426,0,other,0,24.127912715971284,24.56395939620495,24.127912715971284,-0.0872093360467332
58,E(o),73.985,35.939,2019,19.57,4258,0,other,0,14.759078623832654,15.122610368554833,14.759078623832654,-0.07270634894443581
59,E(o),73.945,35.917,2019,12.08,4178,0,other,0,12.21960226318456,12.365073049813702,12.21960226318456,-0.029094157325828363
60,E(o),73.992,35.916,2019,11.42,4312,0,other,0,14.177463403953876,14.540995148675131,14.177463403953876,-0.07270634894425107
61,E(o),73.922,35.906,2019,15.98,4223,0,other,0,12.21960226318456,12.365073049813702,12.21960226318456,-0.029094157325828363
62,E(o),73.763,35.882,2019,40.94,4104,0,other,0,77.64921716591844,77.7947720552886,77.64921716591844,-0.029110977874032072
63,E(o),73.929,35.868,2019,17.55,4064,0,other,0,14.335745848381004,14.408527737407988,14.335745848381004,-0.014556377805396892
64,E(o),73.869,35.858,2019,15.26,4211,0,other,0,15.794367384121724,15.212088221830642,15.794367384121724,0.11645583245821634
65,E(o),73.775,35.856,2019,28.28,3962,0,other,0,49.85067359218971,49.99623186855545,49.85067359218971,-0.029111655273148074
66,E(o),73.877,35.852,2019,19.43,4166,0,other,0,15.794367384121724,15.212088221830642,15.794367384121724,0.11645583245821634
67,E(o),73.799,35.247,2019,17.06,3988,0,other,0,14.740554301992097,13.420497233282038,14.740554301992097,0.26401141374201165
68,E(o),73.958,35.184,2019,10.49,4120,0,other,0,7.926489531512957,7.779699469327679,7.926489531512957,0.029358012437055693
69,E(o),73.985,34.83,2019,20.67,3873,0,other,0,17.838064118158318,14.078768123853573,17.838064118158318,0.751859198860949
70,E(o),74.019,35.962,2019,15.37,4285,0,other,0,11.774730776863343,11.702054151248541,11.774730776863343,0.01453532512296043
71,E(c),74.083,35.817,2019,16.71,4269,0,other,0,14.053647871305264,14.854641122506452,14.053647871305264,-0.16019865024023758
72,E(o),74.205,35.779,2019,12.36,4304,0,other,0,9.543578964461675,9.252172990364464,9.543578964461675,0.0582811948194422
73,E(c),74.196,35.773,2019,11.01,4368,0,other,0,9.543578964461675,9.252172990364464,9.543578964461675,0.0582811948194422
74,E(o),74.243,35.707,2019,15.89,4318,0,other,0,11.232260352018434,10.791838917773529,11.232260352018434,0.0880842868489811
75,E(o),74.23,35.686,2019,14.12,4336,0,other,0,11.232260352018434,10.791838917773529,11.232260352018434,0.0880842868489811
76,E(c),74.177,35.073,2019,11.97,4042,0,other,0,9.333625414557147,9.554105709828148,9.333625414557147,-0.04409605905420015
77,E(c),74.294,35.821,2019,12.04,4313,0,other,0,9.902641785946617,9.829827495314172,9.902641785946617,0.014562858126489076
