S.No.,Latitude,Longitude,Subbasin,GL type,Area(ha),Elev(m)
143,35.132,75.321,Indus Upper,E(o),19.58,"4,526"
144,35.172,75.521,Indus Upper,E(o),10.3,"4,551"
145,35.096,75.579,Indus Middle,E(o),10.98,"4,375"
146,35.027,75.725,Indus Upper,E(o),12.92,"4,647"
147,34.991,75.236,Indus Upper,O,129.62,"4,138"
148,34.972,75.051,Indus Middle,E(c),14.29,"4,265"
149,34.922,75.25,Indus Upper,E(o),14.22,"4,152"
150,34.92,75.177,Indus Upper,E(o),14.54,"4,257"
151,34.919,75.189,Indus Upper,E(o),14.34,"4,225"
152,34.697,75.137,Jhelum,E(o),64.95,"4,103"
153,34.684,75.14,Jhelum,E(o),21.41,"4,133"
154,34.666,75.179,Jhelum,E(o),74.54,"4,234"
155,34.422,75.058,Jhelum,E(c),40.12,"3,570"
156,34.397,75.103,Jhelum,E(c),29.55,"3,812"
157,34.388,75.119,Jhelum,E(c),47.25,"3,663"
158,34.207,75.147,Jhelum,E(o),10.35,"3,699"
159,34.203,75.205,Jhelum,E(o),15.92,"3,682"
160,34.156,75.113,Jhelum,E(o),10.27,"3,941"
161,34.144,75.11,Jhelum,E(o),43.47,"3,810"
162,34.14,75.148,Jhelum,E(c),82.93,"3,780"
163,34.093,75.161,Jhelum,E(o),17.8,"3,919"
164,34.063,75.216,Jhelum,E(o),13.36,"3,691"
165,34.825,75.382,Indus Upper,E(c),22.94,"4,315"
166,34.775,75.48,Indus Upper,E(o),10.8,"4,626"
167,34.234,75.275,Jhelum,E(o),18.23,"3,830"
168,34.193,75.321,Jhelum,E(c),10.81,"3,734"
169,34.184,75.373,Jhelum,E(c),16.8,"4,276"
170,34.139,75.377,Jhelum,E(o),33.45,"3,709"
171,34.094,75.498,Jhelum,O,52.27,"3,575"
172,34.067,75.475,Jhelum,E(o),17.85,"3,724"
173,34.987,75.553,Indus Upper,E(o),17.86,"4,269"
174,34.965,75.545,Indus Upper,E(o),13.7,"4,412"
175,34.947,75.592,Indus Upper,E(o),24.89,"4,558"
176,34.896,75.617,Indus Upper,E(o),11.97,"4,547"
177,34.893,75.713,Indus Upper,E(o),19.39,"4,589"
178,34.883,75.68,Indus Upper,E(o),13.31,"4,627"
179,34.873,75.716,Indus Upper,E(o),15.83,"4,664"
180,34.808,75.545,Indus Upper,E(o),12.86,"4,687"
181,34.491,75.649,Indus Upper,E(o),15.37,"4,521"
182,34.947,75.763,Indus Upper,E(o),25.14,"4,778"
183,34.888,75.892,Indus Upper,E(o),10.29,"4,882"
184,34.878,75.871,Indus Upper,E(o),18.96,"4,687"
185,34.859,75.942,Indus Upper,E(o),13.73,"4,796"
186,34.04,75.844,Indus Upper,M(e),25.26,"4,094"
187,33.953,75.378,Jhelum,E(o),15.37,"3,644"
188,33.952,75.411,Chenab,E(c),26.79,"4,082"
189,33.929,75.389,Jhelum,E(c),19.34,"4,048"
190,33.754,75.47,Jhelum,E(o),10.88,"3,921"
191,33.619,75.537,Chenab,E(c),10.85,"3,852"
192,35.954,76.03,Indus Middle,M(l),10.62,"4,276"
193,35.171,76.205,Shyok,O,30.72,"3,301"
194,35.097,76.234,Shyok,E(o),22.96,"4,512"
195,35.73,76.41,Indus Middle,M(l),13.28,"4,161"
196,35.72,76.375,Indus Middle,M(l),12.14,"4,140"
