Unnamed: 0,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha
327,M(e),79.754,30.901,2023,22.04,4677,0,moraine,0,19.10903363586442
328,M(e),80.179,30.565,2023,17.81,4872,0,moraine,0,29.15029534978379
329,M(e),80.387,30.446,2023,10.0,4306,0,moraine,0,59.078233907683895
330,M(e),80.532,30.392,2023,11.21,4753,0,moraine,0,91.09011118574112
331,M(e),80.784,30.402,2023,43.35,5088,0,moraine,0,39.809793635820085
332,E(o),80.886,30.347,2023,12.47,5253,0,other,0,11.081735196135348
333,M(o),81.33,30.424,2023,12.68,5807,0,moraine,0,10.60842970942075
334,O,81.427,30.417,2023,17.88,5496,0,other,0,189.23560085933778
335,O,81.427,30.405,2023,11.18,5472,0,other,0,95.85884938840339
336,E(o),81.421,30.378,2023,25.56,5659,0,other,0,21.9240239774988
337,E(o),81.376,30.364,2023,10.33,5756,0,other,0,9.53079860884326
338,E(o),81.413,30.343,2023,30.39,5734,0,other,0,26.039426608723442
339,M(e),81.376,30.322,2023,13.96,5542,0,moraine,0,66.51360783590953
340,M(o),81.445,30.319,2023,12.2,5497,0,moraine,0,18.914059798301643
341,M(e),81.409,30.312,2023,13.27,5634,0,moraine,0,70.87249252240426
342,M(e),81.399,30.302,2023,11.68,5580,0,moraine,0,165.79003840489486
343,M(e),81.388,30.297,2023,26.15,5516,0,moraine,0,209.1401409152972
344,M(e),81.349,30.266,2023,20.37,5207,0,moraine,0,64.3033491466049
345,M(e),81.35,30.233,2023,26.79,5297,0,moraine,0,107.22105094576399
346,O,81.689,30.254,2023,27.78,4264,0,other,0,18.616208935849645
347,O,81.574,30.378,2023,22.49,5097,0,other,0,20.06480338939498
348,E(o),81.512,30.328,2023,12.27,5221,0,other,0,8.216048957729123
349,E(o),81.574,30.284,2023,14.32,5077,0,other,0,11.476635706810177
350,M(o),81.748,30.162,2023,16.11,5046,0,moraine,0,17.083090943422185
351,M(o),81.685,30.14,2023,21.34,4655,0,moraine,0,20.96776274130862
352,M(e),81.861,30.346,2023,15.56,5431,0,moraine,0,14.1816973648791
353,M(o),81.831,30.345,2023,10.48,5520,0,moraine,0,17.979784847198882
354,M(o),81.913,30.338,2023,28.2,5135,0,moraine,0,31.314236561950697
355,M(e),81.92,30.336,2023,10.09,5130,0,moraine,0,31.314236561950697
356,M(e),81.833,30.324,2023,11.65,5571,0,moraine,0,17.979784847198882
357,M(e),81.876,30.313,2023,10.69,5546,0,moraine,0,30.315500488281813
358,M(e),81.866,30.307,2023,10.94,5492,0,moraine,0,30.315500488281813
359,M(e),81.802,30.216,2023,19.31,5343,0,moraine,0,98.16829702905048
