ID,Major_RGI_Region,Mountain_range_Region,Country,Glacier,RGI_Glacier_Id,RGI_Glacier_Area,Lake,Lake_type,Longitude,Latitude,River,Date,Date_Min,Date_Max,Mechanism,Mean_Lake_Volume_VL,Min_VL,Max_VL,VL_calculation,Mean_Flood_Volume_V0,Min_V0,Max_V0,V0_calculation,Peak_discharge_Qp,Min_Qp,Max_Qp,Qp_calculation,Impact_and_destruction,reported_impacts,economic_losses,D_buildings,D_bridges,D_roads_paths,D_railroads,D_utilities,D_flood_protection,D_environmental,resettlement,reported_fatalities,Further_comments,First_reference_found,Reference,Reference_comments,Lake_area_before,Perimeter_before,Image_date_before,Satellite_before,Scenename_before,Certainty_level_before,Lake_area_after,Perimeter_after,Image_date_after,Satellite_after,Scenename_after,Certainty_level_after,Lake_area_comments,,,,,,,,,,,,,,,,,,,,
running number (regionally),RGI region in which the GLOF occurred,Major mountain unit/range in which the GLOF was located,Source location of the GLOF,Name of the glacier that feeds the burst glacier lake,Glacier Id derived from RGI polygon,Glacier area derived from RGI polygon,Name of the outburst source lake,Material of the impounding dam,X coordinate,Y coordinate,Major river basin that captured GLOF discharge,Reported date of GLOF,Earliest possible date ,Latest possible date ,Mechanism that causes the dam to fail, Volume before outburst,Minimum reported lake volume ,Maximum reported lake volume,Method to obtain lake volumes before outburst,Total volume released during outburst,Minimum reported flood volume,Maximum reported flood volume,Method to obtain V0,Maximum discharge during outburst,Minimum reported peak discharge ,Maximum reported peak discharge ,Method to obtain Qp,Quantitative and qualitative descriptions of societal impacts from GLOFs,Reported impacts (categorized),Occurrence of economic losses,Damage to buildings,Damage to bridges,Damage to roads or paths,Damage to railroads,Damage to utilities,Damage to flood protection measures,Damage to the environment,Need for resettlement after the flood,Fatalities in consequence of the flood,Any other useful information,Year of first reference that cited the GLOF,References viewed to gather information,Comments on the reference,Lake area before outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,…)",lake area after outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,...)",Mapping notes and comments,,,,,,,,,,,,,,,,,,,,
,,e.g. Karakoram,e.g. Pakistan ,e.g. Baltoro Glacier,,km2,e.g. Baltoro Lake 1,"e.g ice, moraine, water pocket, bedrock, combined",XX.XX°,XX.XX°,e.g. Indus,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,"(e.g. overtopping, breach, tunnelling,  englacial,…)",106 m³,106 m³,106 m³,e.g. bathymetry,106 m³,106 m³,106 m³,gaged / estmated / unknown,m³ s-1,m³ s-1,m³ s-1,gaged / estmated / unknown,,,,,,,,(e.g. water or electricity supply),(e.g. levees),(e.g. fish population),,,,,,,m² ,m,YYYY-MM_DD,,,2 – sure,m²,m,YYYY-MM_DD,,,2 – sure,,,,,,,,,,,,,,,,,,,,,
262,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Cachet,ice,-73.26,-47.18,Río Baker,2010-01-05,,,englacial and subglacial,,,,,74.23,,,gaged at station Baker en Colonia,1542.98,,,gaged at station Baker en Colonia; base flow removed,,,,,,,,,,,,,,2017,"Jacquet, J., McCoy, S. W., Mcgrath, D., Nimick, D. A., Fahey, M., O'kuinghttons, J., ... & Leidich, J. (2017). Hydrologic and geomorphic changes resulting from episodic glacial lake outburst floods: Rio Colonia, Patagonia, Chile. Geophysical Research Letters, 44(2), 854-864.",,2757016,11346,2009-12-15,Landsat 5,LT05_231093_20091215,2,1415667,7375,2010-01-16,Landsat 5,LT05_231093_20100116,2,,,,,,,,,,,,,,,,,,,,,
263,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.01957,﻿RGI60-16.01957,"﻿0,139",,bedrock/ice,-76.03,-11.87,,,,2010-04,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,"no suitable imagery found due to L7-stripes, clouds, ice",,,,,,,,,,,,,,,,,,,,
264,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02787,﻿RGI60-16.02787,"﻿0,108",,moraine,-75.91,-12.20,,,,2010-05,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,7762,458,2010-04-13,Landsat 7,2010-04-13-00_00_2010-04-13-23_59_Landsat_7_ETM+_L2_Highlight_Optimized_Natural_Color,2,6826,436,2010-10-06,Landsat 7,2010-10-06-00_00_2010-10-06-23_59_Landsat_7_ETM+_L2_Highlight_Optimized_Natural_Color,2,,,,,,,,,,,,,,,,,,,,,
265,Low Latitudes,Low-latitude Andes,Bolivia,﻿RGI60-16.00600,﻿RGI60-16.00600,"﻿1,660",,bedrock/ice,-68.29,-16.09,,,2010-06,2015-07,,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,13120,458,2013-08-01,Landsat 7,2013-08-01-00_00_2013-08-01-23_59_Landsat_7_ETM+_L2_False_color,2,0,0,2013-10-20,Landsat 7,2013-10-20-00_00_2013-10-20-23_59_Landsat_7_ETM+_L2_NDWI,2,,,,,,,,,,,,,,,,,,,,,
265,Low Latitudes,Low-latitude Andes,Bolivia,﻿RGI60-16.00600,﻿RGI60-16.00600,"﻿1,660",,bedrock/ice,-68.29,-16.09,,,2010-06,2015-07,,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,13120,458,2013-08-01,Landsat 7,2013-08-01-00_00_2013-08-01-23_59_Landsat_7_ETM+_L2_False_color,2,0,0,2013-10-20,Landsat 7,2013-10-20-00_00_2013-10-20-23_59_Landsat_7_ETM+_L2_NDWI,2,,,,,,,,,,,,,,,,,,,,,
268,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02865,﻿RGI60-16.02865,"﻿0,123",,moraine,-76.32,-11.60,,,,2010-08,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,3463,239,2010-08-19,Landsat 7,2010-08-19-00_00_2010-08-19-23_59_Landsat_7_ETM+_L2_Highlight_Optimized_Natural_Color,2,1384,148,2010-09-04,Landsat 7,2010-09-04-00_00_2010-09-04-23_59_Landsat_7_ETM+_L2_Highlight_Optimized_Natural_Color,2,,,,,,,,,,,,,,,,,,,,,
269,Low Latitudes,Low-latitude Andes,Bolivia,﻿RGI60-16.00785,﻿RGI60-16.00785,"﻿0,86",,moraine/bedrock,-69.00,-14.99,,,,2010-09,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,11756,470,2010-05-28,Landsat 7,2010-05-28-00_00_2010-05-28-23_59_Landsat_7_ETM+_L2_Highlight_Optimized_Natural_Color,2,6601,387,2010-09-17,Landsat 7,2010-09-17-00_00_2010-09-17-23_59_Landsat_7_ETM+_L2_Highlight_Optimized_Natural_Color,2,,,,,,,,,,,,,,,,,,,,,
272,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00332,﻿RGI60-16.00332,"﻿3,080",,moraine,-72.08,-13.22,,2010-10-17,,,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage; triggers: extreme precipitation / snowmelt / flood from usptream,2010,"INGEMMET (2010) CITED IN Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,unclear from which lake drained. Erosion path clearly visible,,,,,,,,,,,,,,,,,,,,
273,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01875,RGI60-16.01875,8.82,Jancacuta,moraine,-76.93,-10.21,,,,2011,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2020,"Baťka, J., Vilímek, V., Štefanová, E., Cook, S. J., & Emmer, A. (2020). Glacial Lake Outburst Floods (GLOFs) in the Cordillera Huayhuash, Peru: Historic Events and Current Susceptibility. Water, 12(10), 2664.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,no GLOF detectable via EO Browser imagery,,,,,,,,,,,,,,,,,,,,
274,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Cachet,ice,-73.26,-47.18,Río Baker,2011-03-04,,,englacial and subglacial,,,,,195.95,,,gaged at station Baker en Colonia,1523.05,,,gaged at station Baker en Colonia; base flow removed,,,,,,,,,,,,,,2017,"Jacquet, J., McCoy, S. W., Mcgrath, D., Nimick, D. A., Fahey, M., O'kuinghttons, J., ... & Leidich, J. (2017). Hydrologic and geomorphic changes resulting from episodic glacial lake outburst floods: Rio Colonia, Patagonia, Chile. Geophysical Research Letters, 44(2), 854-864.",,4807643,,2011-02-19,RapidEye,1817320_2011-02-19_RE3_3A_Analytic_SR_clip,2,780048,,2011-03-07,Landsat 7,LE07_L1TP_232093_20110307_20200910_02_T1_refl,2,,,,,,,,,,,,,,,,,,,,,
275,Low Latitudes,Low-latitude Andes,Bolivia,﻿RGI60-16.00850,﻿RGI60-16.00850,"﻿5,651",,bedrock,-67.36,-16.99,,,,2011-05,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,imagery via eo browser too stripy (L7) for that time period  -> no suitable images found,,,,,,,,,,,,,,,,,,,,
276,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02402,﻿RGI60-16.02402,"﻿0,459",,moraine/bedrock,-77.55,-9.08,,,2011-05,2013-08,breach,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,4143,,2011-05-31,GoogleEarth,,,1500,,2013-08-20,GoogleEarth,,2,,,,,,,,,,,,,,,,,,,,,
277,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02402,RGI60-16.02402,"﻿0,459",,moraine/bedrock,-77.55,-9.08,,,2011-05,2016-11,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage; triggers: extreme precipitation / snowmelt / flood from usptream,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,GLOF did not change lake area,,,,,,,,,,,,,,,,,,,,
278,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Cachet,ice,-73.26,-47.18,Río Baker,2011-05-29,,,englacial and subglacial,,,,,164.38,,,gaged at station Baker en Colonia,1737.24,,,gaged at station Baker en Colonia; base flow removed,,,,,,,,,,,,,,2017,"Jacquet, J., McCoy, S. W., Mcgrath, D., Nimick, D. A., Fahey, M., O'kuinghttons, J., ... & Leidich, J. (2017). Hydrologic and geomorphic changes resulting from episodic glacial lake outburst floods: Rio Colonia, Patagonia, Chile. Geophysical Research Letters, 44(2), 854-864.",,2884170,,2011-04-08,Landsat 7,LE07_L1TP_232093_20110408_20200910_02_T1_B5,1,704375,,2011-06-01,RapidEye,1817320_2011-06-01_RE5_3A_Analytic_SR_clip,2,L7 image before has gaps and shadows.,,,,,,,,,,,,,,,,,,,,
279,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,263.32,Brazo Rico,ice,-72.98,-50.50,Santa Cruz,2012,,,tunneling and collapse,,,,,,,,,2000.00,,,gaged – lake level measurements,,,,,,,,,,,,,,2014,"Guerrido, C. M., Villalba, R., & Rojas, F. (2014). Documentary and tree-ring evidence for a long-term interval without ice impoundments from Glaciar Perito Moreno, Patagonia, Argentina. The Holocene, 24(12), 1686-1693.; Lenzano, M. G., Lannutti, E., Toth, C., Lenzano, L., Vecchio, A. L., Falaschi, D., & Vich, A. (2018). Analyzing the oscillations of the Perito Moreno Glacier, using time-lapse image sequences. Cold Regions Science and Technology, 146, 155-166.; https://en.wikipedia.org/wiki/Perito_Moreno_Glacier",,142033841,213905,2012-01-07,RapidEye,1815720_2012-01-07_RE1_3A_Analytic_SR_clip; 1815721_2012-01-07_RE1_3A_Analytic_SR_clip; 1815620_2012-01-07_RE1_3A_Analytic_SR_clip; 1815821_2012-01-07_RE1_3A_Analytic_SR_clip,2,125526672,168095,2013-01-19,RapidEye,1815821_2013-01-19_RE2_3A_Analytic_SR_clip; 1815620_2013-01-19_RE2_3A_Analytic_SR_clip; 1815720_2013-01-19_RE2_3A_Analytic_SR_clip; 1815721_2013-01-19_RE2_3A_Analytic_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
280,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02485,﻿RGI60-16.02485,"﻿2,294",Artizon Alto,bedrock,-77.62,-8.94,,2012-02-08,,,overtopping,,,,,0.30,,,estimated - (simulated),,,,,,,,,,,,,,,,,"partial drainage; triggers: landslides, rockfalls and debris flows",2018,"Mergili, M., Emmer, A., Juřicová, A., Cochachin, A., Fischer, J. T., Huggel, C., & Pudasaini, S. P. (2018). How well can we simulate complex hydro‐geomorphic process chains? The 2012 multi-lake outburst flood in the Santa Cruz Valley (Cordillera Blanca, Perú). Earth Surface Processes and Landforms, 43(7), 1373-1389.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,34858,,2011-06-01,RapidEye,1834903_2011-06-01_RE2_3A_Analytic_SR_clip,2,13958,,2012-06-28,RapidEye,1834903_2012-06-28_RE4_3A_Analytic_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
281,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Cachet,ice,-73.26,-47.18,Río Baker,2012-01-26,,,englacial and subglacial,,,,,204.38,,,gaged at station Baker en Colonia,2585.86,,,gaged at station Baker en Colonia; base flow removed,,,,,,,,,,,,,,2017,"Jacquet, J., McCoy, S. W., Mcgrath, D., Nimick, D. A., Fahey, M., O'kuinghttons, J., ... & Leidich, J. (2017). Hydrologic and geomorphic changes resulting from episodic glacial lake outburst floods: Rio Colonia, Patagonia, Chile. Geophysical Research Letters, 44(2), 854-864.",,4798565,,2012-01-21,Landsat 7,2012-01-21-00_00_2012-01-21-23_59_Landsat_7_ETM+_L2_False_color,1,1639200,,2012-02-06,Landsat 7,2012-02-06-00_00_2012-02-06-23_59_Landsat_7_ETM+_L2_False_color,2,,,,,,,,,,,,,,,,,,,,,
282,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Cachet,ice,-73.26,-47.18,Río Baker,2012-04-01,,,englacial and subglacial,,,,,173.62,,,gaged at station Baker en Colonia,2431.91,,,gaged at station Baker en Colonia; base flow removed,,,,,,,,,,,,,,2017,"Jacquet, J., McCoy, S. W., Mcgrath, D., Nimick, D. A., Fahey, M., O'kuinghttons, J., ... & Leidich, J. (2017). Hydrologic and geomorphic changes resulting from episodic glacial lake outburst floods: Rio Colonia, Patagonia, Chile. Geophysical Research Letters, 44(2), 854-864.",,4561006,18735,2012-03-25,Landsat 7,LE07_232093_20120325,1,962809,8149,2012-04-10,Landsat 7,LE07_232093_20120410,1,L7 gaps,,,,,,,,,,,,,,,,,,,,
283,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.01118,﻿RGI60-16.01118,"﻿1,072",,bedrock,-71.13,-13.51,,,,2012-06,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,Lake not clearly visible,,,,,,,,,,,,,,,,,,,,
284,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Cachet,ice,-73.26,-47.18,Río Baker,2012-11-07,,,englacial and subglacial,,,,,97.54,,,gaged at station Baker en Colonia,2384.01,,,gaged at station Baker en Colonia; base flow removed,,,,,,,,,,,,,,2017,"Jacquet, J., McCoy, S. W., Mcgrath, D., Nimick, D. A., Fahey, M., O'kuinghttons, J., ... & Leidich, J. (2017). Hydrologic and geomorphic changes resulting from episodic glacial lake outburst floods: Rio Colonia, Patagonia, Chile. Geophysical Research Letters, 44(2), 854-864.",,4667134,,2012-10-19,Landsat 7,2012-01-21-00_00_2012-01-21-23_59_Landsat_7_ETM+_L2_False_color,2,955518,,2012-11-07,Landsat 7,2012-11-13-00_00_2012-11-13-23_59_Landsat_7_ETM+_L2_False_color,1,Major gaps in L7 image after,,,,,,,,,,,,,,,,,,,,
285,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.01242,﻿RGI60-16.01242,"﻿3,054",,moraine,-70.80,-13.93,,,2012-09,2013-04-17,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,25826,692,2012-09-21,Landsat 7,1932606_2012-09-21_RE5_3A_Analytic_SR_clip,2,26034,651,2013-04-24,RapidEye,1932606_2013-04-24_RE1_3A_Analytic_SR_clip,2,lake area increases during that period,,,,,,,,,,,,,,,,,,,,
286,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00384,﻿RGI60-16.00384,"﻿0,325",,moraine,-73.11,-13.24,,,2012-08-30,2013-09-08,breach,,,,,,,,,,,,,,,,,,,,,,,,,"complete drainage; triggers: landslides, rockfalls and debris flows",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,9315,,2012-08-30,RapidEye 1,1832923_2012-08-30_RE1_3A_Analytic_SR_clip,2,0,0,2013-08-08,RapidEye 4,1833023_2013-09-08_RE4_3A_Analytic_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
287,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Cachet,ice,-73.26,-47.18,Río Baker,2013-02-08,,,englacial and subglacial,,,,,174.76,,,gaged at station Baker en Colonia,2082.79,,,gaged at station Baker en Colonia; base flow removed,,,,,,,,,,,,,,2017,"Jacquet, J., McCoy, S. W., Mcgrath, D., Nimick, D. A., Fahey, M., O'kuinghttons, J., ... & Leidich, J. (2017). Hydrologic and geomorphic changes resulting from episodic glacial lake outburst floods: Rio Colonia, Patagonia, Chile. Geophysical Research Letters, 44(2), 854-864.",,4205693,,2013-01-23,Landsat 7,2013-01-23-00_00_2013-01-23-23_59_Landsat_7_ETM+_L2_False_color,2,458322,,2013-02-08,Landsat 7,2013-02-08-00_00_2013-02-08-23_59_Landsat_7_ETM+_L2_False_color,2,,,,,,,,,,,,,,,,,,,,,
288,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Cachet,ice,-73.26,-47.18,Río Baker,2013-04-10,,,englacial and subglacial,,,,,134.45,,,gaged at station Baker en Colonia,1615.30,,,gaged at station Baker en Colonia; base flow removed,,,,,,,,,,,,,,2017,"Jacquet, J., McCoy, S. W., Mcgrath, D., Nimick, D. A., Fahey, M., O'kuinghttons, J., ... & Leidich, J. (2017). Hydrologic and geomorphic changes resulting from episodic glacial lake outburst floods: Rio Colonia, Patagonia, Chile. Geophysical Research Letters, 44(2), 854-864.",,3665082,16390,2013-03-28,Landsat 7,LE07_232093_20130328,1,77121,1251,2013-04-21,Landsat 8,LC08_232093_20130421,1,"L4 gaps, after image unsure due to clouds",,,,,,,,,,,,,,,,,,,,
289,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.01147,﻿RGI60-16.01147,"﻿3,927",,moraine/bedrock,-71.18,-13.53,,,,2013-04,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,no sign of GLOF found via Planet Explorer,,,,,,,,,,,,,,,,,,,,
290,Low Latitudes,Low-latitude Andes,Bolivia,﻿RGI60-16.00903,﻿RGI60-16.00903,"﻿2,920",,moraine/bedrock,-69.20,-14.76,,,,2013-07,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,Lake not clearly visible,,,,,,,,,,,,,,,,,,,,
291,Low Latitudes,Low-latitude Andes,Bolivia,﻿RGI60-16.00866,﻿RGI60-16.00866,"﻿11,286",,moraine/bedrock,-69.24,-14.69,,,,2013-07,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,no sign of GLOF found via Planet Explorer,,,,,,,,,,,,,,,,,,,,
292,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00984,﻿RGI60-16.00984,"﻿6,137",,moraine,-71.20,-13.81,,,,2013-08,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,no sign of GLOF found via Planet Explorer,,,,,,,,,,,,,,,,,,,,
293,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00987,﻿RGI60-16.00987,"﻿8,468",,moraine,-71.26,-13.77,,,,2013-08,,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,no sign of GLOF found via Planet Explorer,,,,,,,,,,,,,,,,,,,,
294,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.01150,﻿RGI60-16.01150,"﻿2,044",,moraine/bedrock,-71.25,-13.53,,,,2013-08,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,no suitable image material found via Planet Explorer OR no change after GLOF ,,,,,,,,,,,,,,,,,,,,
295,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02262,﻿RGI60-16.02262,"﻿4,231",,bedrock,-77.30,-9.38,,,2013-08,2016-04,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: landslides, rockfalls and debris flows",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,rather no GLOF,,,,,,,,,,,,,,,,,,,,
296,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Cachet,ice,-73.26,-47.18,Río Baker,2013-09-23,,,englacial and subglacial,,,,,134.91,,,gaged at station Baker en Colonia,1647.59,,,gaged at station Baker en Colonia; base flow removed,,,,,,,,,,,,,,2017,"Jacquet, J., McCoy, S. W., Mcgrath, D., Nimick, D. A., Fahey, M., O'kuinghttons, J., ... & Leidich, J. (2017). Hydrologic and geomorphic changes resulting from episodic glacial lake outburst floods: Rio Colonia, Patagonia, Chile. Geophysical Research Letters, 44(2), 854-864.",,4242295,18114,2013-09-12,Landsat 8,LC08_232093_20130912,2,269952,3111,2013-09-28,Landsat 8,LC08_232093_20130928,2,,,,,,,,,,,,,,,,,,,,,
