ID,Major_RGI_Region,Mountain_range_Region,Country,Glacier,RGI_Glacier_Id,RGI_Glacier_Area,Lake,Lake_type,Longitude,Latitude,River,Date,Date_Min,Date_Max,Mechanism,Mean_Lake_Volume_VL,Min_VL,Max_VL,VL_calculation,Mean_Flood_Volume_V0,Min_V0,Max_V0,V0_calculation,Peak_discharge_Qp,Min_Qp,Max_Qp,Qp_calculation,Impact_and_destruction,reported_impacts,economic_losses,D_buildings,D_bridges,D_roads_paths,D_railroads,D_utilities,D_flood_protection,D_environmental,resettlement,reported_fatalities,Further_comments,First_reference_found,Reference,Reference_comments,Lake_area_before,Perimeter_before,Image_date_before,Satellite_before,Scenename_before,Certainty_level_before,Lake_area_after,Perimeter_after,Image_date_after,Satellite_after,Scenename_after,Certainty_level_after,Lake_area_comments,,,,,,,,,,,,,,,,,,,,
running number (regionally),RGI region in which the GLOF occurred,Major mountain unit/range in which the GLOF was located,Source location of the GLOF,Name of the glacier that feeds the burst glacier lake,Glacier Id derived from RGI polygon,Glacier area derived from RGI polygon,Name of the outburst source lake,Material of the impounding dam,X coordinate,Y coordinate,Major river basin that captured GLOF discharge,Reported date of GLOF,Earliest possible date ,Latest possible date ,Mechanism that causes the dam to fail, Volume before outburst,Minimum reported lake volume ,Maximum reported lake volume,Method to obtain lake volumes before outburst,Total volume released during outburst,Minimum reported flood volume,Maximum reported flood volume,Method to obtain V0,Maximum discharge during outburst,Minimum reported peak discharge ,Maximum reported peak discharge ,Method to obtain Qp,Quantitative and qualitative descriptions of societal impacts from GLOFs,Reported impacts (categorized),Occurrence of economic losses,Damage to buildings,Damage to bridges,Damage to roads or paths,Damage to railroads,Damage to utilities,Damage to flood protection measures,Damage to the environment,Need for resettlement after the flood,Fatalities in consequence of the flood,Any other useful information,Year of first reference that cited the GLOF,References viewed to gather information,Comments on the reference,Lake area before outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,…)",lake area after outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,...)",Mapping notes and comments,,,,,,,,,,,,,,,,,,,,
,,e.g. Karakoram,e.g. Pakistan ,e.g. Baltoro Glacier,,km2,e.g. Baltoro Lake 1,"e.g ice, moraine, water pocket, bedrock, combined",XX.XX°,XX.XX°,e.g. Indus,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,"(e.g. overtopping, breach, tunnelling,  englacial,…)",106 m³,106 m³,106 m³,e.g. bathymetry,106 m³,106 m³,106 m³,gaged / estmated / unknown,m³ s-1,m³ s-1,m³ s-1,gaged / estmated / unknown,,,,,,,,(e.g. water or electricity supply),(e.g. levees),(e.g. fish population),,,,,,,m² ,m,YYYY-MM_DD,,,2 – sure,m²,m,YYYY-MM_DD,,,2 – sure,,,,,,,,,,,,,,,,,,,,,
19,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1927,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1928,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1929,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Southern Andes,Patagonia,Chile,Pio XI Glacier,RGI60-17.05181,1234.71,Lago Greve,ice,-73.96,-49.03,,,1929,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,1994,"Warren, C. P. & Rivera, A. (1994). Non-linear climatic response of Calving Glaciers: A case study of Pio XI Glacier, Chilean Patagonia. Revista Chilena de Historia Natural, 67, 385-394.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1930,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1931,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1932,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01875,RGI60-16.01875,8.82,Solteracocha,moraine,-76.94,-10.23,,1932-03-14,,,breach,,,,,,,,,,,,,Considerable damage,u,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",1954,"Harrison, S., Kargel, J. S., Huggel, C., Reynolds, J., Shugar, D. H., Betts, R. A., ... & Reinhardt, L. (2018). Climate change and the global pattern of moraine-dammed glacial lake outburst floods. The Cryosphere, 12(4), 1195-1209. & Kinzl, H., Schneider, E., & Awerzger, A. (1954). Cordillera Huayhuash, Perú - Ein Bildwerk über ein Tropisches Hochgebirge; Verlag Tiroler Graphik: Innsbruck, Austria, p. 42. & Zapata, M. L. (2002). La dinamica glaciar en lagunas de la Cordillera Blanca. Acta Mont. Ser. A Geodyn., 123, 37–60. & Portocarrero, C. (1984). Seminaro desastres naturales–geologia, causes, efectos y prevenciones. ELECTROPERU SA, Unidad de glaciologia y seguridad de lagunas. Huaráz, Peru, p.10. CITED IN Baťka, J., Vilímek, V., Štefanová, E., Cook, S. J., & Emmer, A. (2020). Glacial Lake Outburst Floods (GLOFs) in the Cordillera Huayhuash, Peru: Historic Events and Current Susceptibility. Water, 12(10), 2664.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1933,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1934,,,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,1980,"Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
