10y_expansion_rate,5y_expansion_rate,Elevation_m,GLOF,Lake_area_calculated_ha,Lake_type_simplified,Latitude,Longitude,Year_final,__source__,glacier_area_ha,glacier_contact,glacier_elev_m,glacier_touch_count,is_supraglacial,lake_area_filled_from_db,nearest_glacier_dist_m,slope_glac_to_lake
,0.0159007086227889,5009,1,5.6447845269314225,moraine,27.705,92.387,1996,pos,313.8026622573356,1,5109.0,1,0,False,0.0,0.0
,-27.374733372416944,3269,1,206.6180926876256,ice,42.207,79.846,1996,pos,121243.04376581848,1,4590.0,4,0,False,0.0,0.0
,3.777239931268982,5114,1,48.80677407892184,moraine,27.901,88.782,1997,pos,1411.4292070262454,1,5700.0,3,0,False,0.0,0.0
,,3316,1,8.394317754878163,other,43.08,77.15,1997,pos,120.7850516719826,1,4128.0,3,0,False,0.0,0.0
,2.4679493361600953,3487,1,12.864760102268743,ice,43.04,77.04,1997,pos,132.73643859648095,1,3993.0,3,0,False,0.0,0.0
,,3454,1,12.864760102268743,ice,43.016,77.024,1997,pos,132.73643859648095,1,3993.0,3,0,False,0.0,0.0
,-8.377995912295324,3269,1,241.94075885930897,ice,42.207,79.846,1997,pos,120846.92560934702,1,4369.0,3,0,False,0.0,0.0
,-0.1167309076616684,4779,1,0.9482907427474104,ice,35.677,77.193,1997,pos,27626.56738116892,1,5653.0,3,0,False,0.0,0.0
,-0.8803268064127414,2317,1,0.0656622069793875,ice,43.006,76.566,1997,pos,,0,,0,0,False,,
,-2.5866964196927165,5128,1,2.0631761220566043,moraine,27.903,90.418,1997,pos,49.25855174066616,0,5210.0,0,0,False,377.2418210911498,0.1484458956274341
5.111276087743841,0.460321435315565,4825,1,39.91989250098235,moraine,27.899,90.807,1998,pos,435.01389673558,0,5171.0,0,0,False,93.3905999912547,4.914841536974618
,1.7621814047416322,3423,1,9.073997979125954,moraine,42.923,76.602,1998,pos,4.060653348751401,0,3681.0,0,0,False,732.4068811380482,0.3932240499331356
,,3826,1,7.25056128161129,moraine,39.75,71.568,1998,pos,214.21974843524947,1,4164.0,2,0,False,0.0,0.0
,43.95803373043837,3269,1,238.9480543757374,ice,42.207,79.846,1998,pos,120846.92560934702,1,4369.0,3,0,False,0.0,0.0
-17.154349580508335,0.34970612105556,4379,1,44.66578150883017,moraine,27.743,86.845,1998,pos,994.237220453094,1,5761.0,3,0,False,0.0,0.0
-0.333085792907373,0.6977688270352002,5010,1,6.503130631658225,moraine,27.955,86.776,1998,pos,11626.125066732258,1,5399.0,4,0,False,0.0,0.0
,17.53615198107204,4779,1,87.97260670634473,ice,35.677,77.193,1998,pos,27626.56738116892,1,5653.0,3,0,False,0.0,0.0
23.011191478780365,-15.060844539028594,3627,1,116.18082974355912,moraine,42.528,74.54,1999,pos,770.2473694736645,1,3944.0,2,0,False,0.0,0.0
,1.514526736579036e-07,3475,1,0.2893841692208727,other,36.342,75.479,1999,pos,53385.61402318674,1,4744.0,4,0,False,0.0,0.0
5.705936492163037,-9.346181029150152,3466,1,34.55397865341369,other,42.522,74.609,1999,pos,536.1258049091829,1,3985.0,2,0,False,0.0,0.0
,-11.027674848136552,3269,1,200.7631941465663,ice,42.207,79.846,1999,pos,120846.92560934702,1,4369.0,3,0,False,0.0,0.0
,37.74224522596508,4779,1,190.82678777416197,ice,35.677,77.193,1999,pos,27626.56738116892,1,5653.0,3,0,False,0.0,0.0
-33.727340599958566,22.71862116658327,3466,1,124.83972952546176,other,42.522,74.609,2000,pos,536.1258049091829,1,3985.0,2,0,False,0.0,0.0
-8.800045676701876,6.03244583211869,4278,1,72.53530807585625,ice,35.253,77.311,2000,pos,240.10839387070683,1,5864.0,10,0,False,0.0,0.0
-7.358756327729955,3.4645917355784377,3551,1,19.69521972859104,ice,36.84,73.92,2000,pos,11255.181771618782,1,5067.0,3,0,False,0.0,0.0
-19.3864876951877,-0.5932339750611049,3475,1,0.2893841692208727,ice,36.342,75.479,2000,pos,53385.61402318674,1,4744.0,4,0,False,0.0,0.0
-68.20623076687968,-49.83683310903485,3269,1,2.460605715311892,ice,42.207,79.846,2000,pos,15.30288523289357,0,3939.0,0,0,False,737.1968067033446,0.8220328608176684
-24.917250728225337,2.9247838045506938,3634,1,38.9731571289951,moraine,35.496,76.27,2000,pos,14962.102056656824,1,4379.0,3,0,False,0.0,0.0
-2.5320415993738576,-0.8536792168006425,3475,1,0.2893841692208727,ice,36.342,75.479,2001,pos,53385.61402318674,1,4744.0,4,0,False,0.0,0.0
-68.19293022724223,-40.81819685482529,3269,1,2.5271084134991435,ice,42.207,79.846,2001,pos,15.30288523289357,0,3939.0,0,0,False,737.1968067023015,0.8220328608188314
6.314862208633272,3.1021354416456446,4909,1,74.54239536871982,moraine,28.211,89.745,2001,pos,1140.8681160207914,1,5457.0,2,0,False,0.0,0.0
5.385482412503921,6.177517384200959,4864,1,42.44994977871511,moraine,28.139,85.92,2002,pos,1072.9266470242585,1,5373.0,4,0,False,0.0,0.0
,0.0433592498077272,2807,1,0.5784413877739918,ice,36.35,74.57,2002,pos,10772.70117108293,1,3839.0,3,0,False,0.0,0.0
-13.934814815971984,-13.489049370332268,4278,1,0.3665723468038601,ice,35.253,77.311,2002,pos,4.77584455649814,0,5483.0,0,0,False,334.9740552584595,1.1105337686913457
,,3475,1,28.151100000000003,ice,36.342,75.479,2002,pos,12114.925020240147,0,4744.0,0,0,True,152.57429173609717,8.317259648138812
,,3269,1,255.6962,ice,42.207,79.846,2002,pos,396.1181564714431,0,4590.0,0,0,True,446.30577922077833,2.95985412132996
13.674008504930848,-5.278049468531623,4386,1,69.72871314311578,ice,37.22,71.734,2002,pos,93.89462889136958,1,4688.0,3,1,False,0.0,0.0
-0.2042428658022218,-0.0875119581405533,4779,1,0.5107309520446435,ice,35.677,77.193,2002,pos,9711.114969629114,0,5539.0,0,0,False,6.440833840708602,95.01875302727412
,,3475,1,,ice,36.342,75.479,2002,pos,12114.925020240147,0,4744.0,0,0,False,152.57429173609717,8.317259648138812
26.788469480885965,158.53404847858064,3785,1,852.5117202062428,moraine,36.613,73.896,2002,pos,4537.102561913929,1,4433.0,9,0,False,0.0,0.0
-7.307162715207878,2.7343307662523446,4124,1,15.679550436656816,moraine,30.684,94.324,2002,pos,4397.202677950341,1,5270.0,3,0,False,0.0,0.0
0.0624481753182692,0.5932402914630928,4667,1,40.04299754481685,moraine,29.632,93.546,2002,pos,18.341674630667168,0,5137.0,0,0,False,950.4115758595412,0.6039488728668746
1.0511482784844646,-4.264815019258698,5187,1,5.551901061891213,moraine,34.477,76.971,2003,pos,370.84046975806376,1,5338.0,5,0,False,0.0,0.0
,,3466,1,,other,42.522,74.609,2003,pos,536.1258049091829,1,3985.0,2,0,False,0.0,0.0
,,3475,1,6.9846,ice,36.342,75.479,2003,pos,12114.925020240147,0,4744.0,0,0,True,152.57429173609717,8.317259648138812
