Longitude,Latitude,Year_final,Lake_area_calculated_ha,Elevation_m,Lake_type_simplified,is_supraglacial,glacier_area_ha,slope_glac_to_lake,glacier_contact,glacier_touch_count,nearest_glacier_dist_m,glacier_elev_m,5y_expansion_rate,10y_expansion_rate,GLOF,lake_area_filled_from_db
96.008,29.335,2019,8.533058152373176,3985,other,0,413.86110326691727,0.2896300319665096,0,0,1346.545444034258,4331.0,-2.4737565474320986,-2.0354010613902473,0,False
92.394,29.667,2019,30.586788944206805,4677,other,0,,,0,0,,,-0.1560919544365084,,0,False
94.123,30.132,2019,359.8675636475752,4318,other,0,2414.5315013960585,0.0,1,18,0.0,5837.0,20.13141155387931,58.66182752854691,0,False
87.053,28.226,2019,54.682915338365234,5050,moraine,0,206.1315837896105,0.8999326988263521,0,0,818.9501292276179,5717.0,-0.3007246798761286,0.3640387234671465,0,False
83.764,30.612,2019,5.796298876654649,5180,other,0,,,0,0,,,-0.5409886283643031,0.9119519471249496,0,False
92.651,27.98,2019,45.75731094969576,4988,moraine,0,20526.271200220097,0.0,1,4,0.0,5608.0,-1.4518102332772288e-06,-1.6831359303036322,0,False
84.068,30.58,2019,28.681931180360507,5675,moraine,0,1028.5669096936886,0.0,1,4,0.0,5882.0,-0.0927713624346836,0.1236989555474814,0,False
96.257,28.992,2019,15.47549241516618,4077,other,0,,,0,0,,,0.7705227091617243,2.639533809619902,0,False
97.012,29.403,2019,19.95124722392817,5156,moraine,0,207.7207589478789,0.8996017572634915,0,0,374.6102064374841,5343.0,-0.3129682062297142,1.8461870433749537,0,False
87.443,28.16,2019,27.155106475455423,4854,other,0,322.4538718500551,1.4532405576423095,0,0,171.34121305007446,5111.0,-2.850373672103301,0.806996742835333,0,False
93.272,30.099,2019,89.43574502867554,4704,moraine,0,1191.0749286667483,0.0,1,10,0.0,5411.0,2.9060041164446604,10.303175644819085,0,False
88.631,28.059,2019,11.807440646725995,4917,other,0,318.26685679697397,0.174939188069659,0,0,4778.803475794762,5752.0,0.9826303275366042,1.8701710394032571,0,False
95.927,29.354,2019,44.76167866794102,4357,moraine,0,58.958986872635734,0.0,1,1,0.0,4748.0,1.361624932763131,2.3777050108602253,0,False
92.479,29.547,2019,11.952500422468562,5077,other,0,67.36334039869644,0.4071185573313455,0,0,876.8944416096585,5434.0,-0.1093694708860692,0.4062272312830746,0,False
95.857,30.18,2019,8.69452606994425,4442,other,0,1.0660571070124325,0.7355682098622186,0,0,591.3795541564814,4927.0,-2.2666137747908683,-2.577123483899686,0,False
94.284,29.894,2019,115.97677676686112,4288,other,0,1.2519148526111774,0.4726527700849798,0,0,1707.3844713845783,5192.0,-0.2646496770039164,20.377162713651835,0,False
91.079,28.351,2019,258.2892168939074,4787,moraine,0,5814.163047641108,0.0,1,9,0.0,5733.0,2.3679273127652607,6.8729553158160455,0,False
86.511,28.321,2019,9.32681630416205,5321,moraine,0,158.44789370831984,0.0,1,4,0.0,5959.0,-1.2172244494059448,0.806088124144995,0,False
85.519,28.468,2019,42.2333924470433,4445,moraine,0,500.5016885592266,0.0,1,1,0.0,4815.0,-4.437363580128957,0.173668847297813,0,False
90.008,29.873,2019,14.870724101271463,5290,moraine,0,432.3845570816635,0.0,1,4,0.0,5686.0,0.2020632584864088,0.4356660910208436,0,False
75.389,33.929,2019,15.870467538049162,4048,other,0,8.388287869845902,0.7628122510064221,0,0,574.1910927913407,4486.0,0.1341181023521684,1.9821115069188644,0,False
90.192,28.257,2019,60.51646915082304,5451,moraine,0,3284.7866415275007,0.0,1,2,0.0,6053.0,1.6138341153395928,11.075023235800852,0,False
93.073,28.767,2019,11.650001399368117,4149,other,0,42.8117345806495,0.2103420487138133,0,0,4050.545315165262,5001.0,-0.8661892430359437,2.109568714234918,0,False
95.749,29.219,2019,7.2103304865058755,3951,other,0,,,0,0,,,-0.6426587915370414,1.0815786402230647,0,False
97.226,28.058,2019,32.2578183601439,4113,other,0,3.122794792525334,0.5809993901978372,0,0,1444.0634777849089,4775.0,-0.1268109687565854,0.2377734693887681,0,False
85.494,28.508,2019,65.49166222645658,4798,moraine,0,3832.38215636592,0.0,1,5,0.0,5997.0,-6.864914227921659,10.4942623640533,0,False
93.764,30.261,2019,93.32408819313764,4019,moraine,0,6349.87870190539,0.0,1,8,0.0,5227.0,7.961182288894757,11.0482013723783,0,False
78.726,32.736,2019,33.080376488693396,5626,moraine,0,330.057075395623,0.0,1,4,0.0,5990.0,-0.1687792126663481,1.1925620962068115,0,False
95.491,29.163,2019,8.38937567205313,3544,other,0,,,0,0,,,-4.186742972834637,1.474027163550636,0,False
93.119,31.147,2019,20.51994681744639,5002,other,0,,,0,0,,,0.0,1.6907798525950006,0,False
74.944,34.385,2019,8.003602843698808,3722,other,0,558.3737516518962,0.0751658589145449,0,0,2008.8907674383115,3873.0,-0.044464706053245,1.585898760835542,0,False
96.787,29.462,2019,478.3437228074073,3916,other,0,6.323507784832795,0.5467569983550296,0,0,1942.3619692022744,4978.0,-0.4378545622458887,0.437875690155397,0,False
86.804,27.975,2019,27.519375347503228,5183,ice,1,11633.607787035166,0.0,1,5,0.0,5534.0,-13.831239458758985,4.298425957576186,0,False
90.625,28.034,2019,48.42265134460776,5172,moraine,0,721.8325921343177,0.0,1,4,0.0,5343.0,-3.1700673576183505,4.310577291274638,0,False
91.553,27.834,2019,39.62549015016138,4521,other,0,3.6858125252155145,0.2766949322988301,0,0,1449.2495278768629,4922.0,0.1270724312039533,7.512247096697978,0,False
81.831,30.345,2019,26.272107719099736,5520,moraine,0,141.16483995115198,0.0,1,5,0.0,5866.0,2.8830581671822384,3.0380467702952796,0,False
82.705,29.743,2019,18.63621863895106,5346,moraine,0,56.42408597261749,0.0,1,3,0.0,6020.0,-0.8264992407727341,2.2773555541808,0,False
90.508,27.972,2019,23.55439772111085,5101,other,0,223.4193346941087,0.1490474798325828,0,0,972.8443591456282,5246.0,-0.0317223187987316,-0.222064179352435,0,False
92.443,29.195,2019,41.704712783585734,4984,other,0,9.5994385095748,0.0,1,2,0.0,5560.0,-2.116589331919903,7.776588626514193,0,False
83.519,30.591,2019,290.96023864791437,5227,other,0,,,0,0,,,3.493807740284467,24.813532394237416,0,False
94.637,29.308,2019,11.352256657837268,4142,other,0,21.225674285254858,0.1395682172009607,0,0,3883.405626795304,5119.0,-1.1594064636953565,1.894596895810583,0,False
89.564,28.15,2019,78.63724243854828,4897,moraine,0,5192.203831476069,0.0,1,10,0.0,5535.0,2.961873744421581,-11.545272062898317,0,False
94.118,29.481,2019,36.58211975990083,4601,other,0,,,0,0,,,-1.7810349365216864,6.019044829887344,0,False
93.357,30.072,2019,50.19648963499313,5065,moraine,0,520.2725214979723,0.0,1,6,0.0,5561.0,3.667648017028808,6.915635718643708,0,False
88.402,27.994,2019,21.32952575660898,5171,moraine,0,672.5207489097447,0.0,1,1,0.0,5386.0,0.2378802396503687,2.9337691192957633,0,False
85.588,28.405,2019,23.54255660401385,5251,moraine,0,1078.0053296370138,0.0,1,5,0.0,5242.0,-9.6855008329438,-2.399425225007011,0,False
