,Unnamed: 0,GLOF,Latitude,Longitude,Year_final,area_t2,area_t1,expansion_ha_peryr,glacier_area_ha,slope_glac_to_lake,glacier_contact,glacier_touch_count,nearest_glacier_dist_m,glacier_elev_m
74,70,1,43.04,77.04,1997,12.864760102268743,,,132.73643859648095,0.0,1,2,0.0,3675.0
75,71,1,43.016,77.024,1997,12.864760102268743,,,132.73643859648095,0.0,1,2,0.0,3675.0
76,72,1,42.207,79.846,1997,241.94075885930897,,,120846.92560934702,0.0,1,2,0.0,3268.0
77,73,1,35.677,77.193,1997,0.9482907427474104,,,27626.56738116892,0.0,1,1,0.0,4887.0
78,74,1,43.006,76.566,1997,0.0656622069793875,,,,,False,0,,
79,75,1,27.903,90.418,1997,2.0631761220566043,,,49.25855174066616,-0.3340032651617268,0,0,377.2418210911498,5151.0
80,76,1,27.899,90.807,1998,39.91989250098235,14.363512062263148,5.111276087743841,435.01389673558,-0.3533546203053647,0,0,93.3905999912547,4727.0
81,77,1,42.923,76.602,1998,9.073997979125954,,,4.060653348751401,-0.06963342550899276,0,0,732.4068811380482,3554.0
82,78,1,39.75,71.568,1998,7.25056128161129,,,214.21974843524947,0.0,1,1,0.0,4293.0
83,79,1,42.207,79.846,1998,238.9480543757374,,,120846.92560934702,0.0,1,2,0.0,3305.0
84,80,1,27.743,86.845,1998,44.66578150883017,130.43752941137186,-17.154349580508335,994.2372204530941,0.0,1,1,0.0,4429.0
85,81,1,27.955,86.776,1998,6.503130631658225,8.16855959619509,-0.333085792907373,11626.125066732258,0.0,1,2,0.0,5324.0
86,82,1,35.677,77.193,1998,87.97260670634473,,,27626.56738116892,0.0,1,1,0.0,4843.0
87,83,1,42.528,74.54,1999,116.18082974355912,1.1248723496573092,23.011191478780365,770.2473694736645,0.0,1,1,0.0,4024.0
88,84,1,36.342,75.479,1999,0.2893841692208727,,,53385.61402318674,0.0,1,2,0.0,3570.0
89,85,1,42.522,74.609,1999,34.55397865341369,6.024296192598503,5.705936492163037,536.1258049091829,0.0,1,1,0.0,3810.0
90,86,1,42.207,79.846,1999,200.7631941465663,,,120846.92560934702,0.0,1,2,0.0,3294.0
91,87,1,35.677,77.193,1999,190.82678777416197,,,27626.56738116892,0.0,1,1,0.0,4843.0
92,88,1,42.522,74.609,2000,124.83972952546176,293.47643252525455,-33.727340599958566,536.1258049091829,0.0,1,1,0.0,4200.0
93,89,1,35.253,77.311,2000,72.53530807585625,116.53553645936564,-8.800045676701876,240.10839387070683,0.0,1,4,0.0,5762.0
94,90,1,36.84,73.92,2000,19.69521972859104,56.48900136724082,-7.358756327729955,11255.181771618782,0.0,1,1,0.0,3987.0
95,91,1,36.342,75.479,2000,0.2893841692208727,97.22182264515936,-19.3864876951877,53385.61402318674,0.0,1,2,0.0,3570.0
96,92,1,42.207,79.846,2000,2.460605715311892,343.4917595497103,-68.20623076687968,15.30288523289357,-0.580577664075845,0,0,737.1968067033446,3331.0
97,93,1,35.496,76.27,2000,38.9731571289951,163.5594107701218,-24.917250728225337,14962.102056656824,0.0,1,1,0.0,4001.0
98,94,1,36.342,75.479,2001,0.2893841692208727,12.94959216609016,-2.5320415993738576,53385.61402318674,0.0,1,2,0.0,3570.0
99,95,1,42.207,79.846,2001,2.5271084134991435,343.4917595497103,-68.19293022724223,15.30288523289357,-0.580577664075845,0,0,737.1968067033446,3331.0
100,96,1,28.211,89.745,2001,74.54239536871982,42.96808432555346,6.314862208633272,1140.8681160207914,0.0,1,2,0.0,5104.0
101,97,1,28.139,85.92,2002,42.44994977871511,15.522537716195504,5.385482412503921,1072.9266470242585,0.0,1,2,0.0,4968.0
102,98,1,36.35,74.57,2002,0.5784413877739918,,,10772.70117108293,0.0,1,3,0.0,2944.0
103,99,1,35.253,77.311,2002,0.3665723468038601,70.04064642666378,-13.934814815971984,4.77584455649814,-0.429884039493424,0,0,334.9740552584595,5192.0
104,100,1,36.342,75.479,2002,,12.94959216609016,,12114.925020240149,-0.17040878711710727,0,0,152.57429173609717,3475.0
105,100,1,36.342,75.479,2002,,12.94959216609016,,12114.925020240149,-0.17040878711710727,0,0,152.57429173609717,3475.0
106,101,1,42.207,79.846,2002,,283.83073842078556,,396.1181564714431,-0.09858711683460882,0,0,446.30577922077833,3269.0
107,102,1,37.22,71.734,2002,69.72871314311578,1.3586706184615462,13.674008504930848,93.89462889136958,0.0,1,3,0.0,4723.0
108,103,1,35.677,77.193,2002,0.5107309520446435,1.5319452810557528,-0.2042428658022218,9711.114969629114,0.0,0,0,6.440833840708602,4934.0
109,104,1,36.342,75.479,2002,,12.94959216609016,,12114.925020240149,-0.17040878711710727,0,0,152.57429173609717,3475.0
110,104,1,36.342,75.479,2002,,12.94959216609016,,12114.925020240149,-0.17040878711710727,0,0,152.57429173609717,3475.0
111,105,1,36.613,73.896,2002,852.5117202062428,718.569372801813,26.788469480885965,4537.102561913929,0.0,1,3,0.0,4514.0
112,106,1,30.684,94.324,2002,15.679550436656816,52.215364012696206,-7.307162715207878,4397.202677950341,0.0,1,1,0.0,4376.0
113,107,1,29.632,93.546,2002,40.04299754481685,39.7307566682255,0.0624481753182692,18.341674630667168,-0.4187659432073451,0,0,950.4115758595411,4567.0
114,108,1,34.477,76.971,2003,5.551901061891213,0.2961596694688904,1.0511482784844646,370.84046975806376,0.0,1,1,0.0,5188.0
115,109,1,42.522,74.609,2003,,83.33647789930858,,536.1258049091829,0.0,1,1,0.0,3466.0
116,110,1,36.342,75.479,2003,,0.0723484818210193,,12114.925020240149,-0.17040878711710727,0,0,152.57429173609717,3475.0
117,111,1,42.207,79.846,2003,,19.15788572354551,,396.1181564714431,-0.09858711683460882,0,0,446.30577922077833,3269.0
118,112,1,36.84,73.92,2004,,4.025214450431452,,3568.324753033535,0.0,0,0,4.149001323136527,3551.0
119,113,1,30.267,81.474,2004,,0.4654116099567063,,1182.5315243578225,0.0,1,1,0.0,5363.0
120,114,1,42.207,79.846,2004,,255.90156838724903,,396.1181564714431,-0.09858711683460882,0,0,446.30577922077833,3269.0
121,115,1,35.677,77.193,2004,,2.115561644336565,,9444.515664037286,-0.0038579849693398988,0,0,1036.8106749478602,4779.0
122,116,1,36.384,72.706,2005,,7.735490543168555,,62.786733425222515,-0.15858913270860783,0,0,88.27843220331903,4403.0
123,117,1,42.537,74.427,2005,,2.18406692800487,,15.213456542195205,-0.11865005748394947,0,0,438.26358876424786,3600.0
124,118,1,42.207,79.846,2005,,251.64477126048612,,396.1181564714431,-0.09858711683460882,0,0,446.30577922077833,3269.0
125,119,1,43.128,77.509,2005,,17.039898654435284,,451.6630229969171,-0.09641686107867666,0,0,165.94607852815201,3542.0
126,120,1,36.027,73.196,2005,,18.881173236648554,,5.679545589936141,0.13145742325993504,0,0,144.533488705546,4762.0
127,121,1,35.677,77.193,2005,,3.0639965340264927,,9444.515664037286,-0.0038579849693398988,0,0,1036.8106749478602,4779.0
128,122,1,29.752,96.465,2006,11.304360025361008,10.602655169368129,0.1403409711985762,308.64900313465694,0.0,0,0,3.2705032253926034,5080.0
129,123,1,30.267,81.474,2006,,3.8003486382175784,,1182.5315243578225,0.0,1,1,0.0,5363.0
130,124,1,41.859,76.995,2006,,48.60713008134497,,23.150194426182768,0.0,1,1,0.0,3861.0
131,125,1,42.207,79.846,2006,,206.6180926876256,,396.1181564714431,-0.09858711683460882,0,0,446.30577922077833,3269.0
132,126,1,35.677,77.193,2006,,3.0639965340264927,,9444.515664037286,-0.0038579849693398988,0,0,1036.8106749478602,4779.0
133,127,1,36.428,74.806,2007,,45.304623528113,,7518.40795003588,0.0,1,1,0.0,3090.0
134,128,1,30.267,81.474,2007,,5.584118161568926,,1182.5315243578225,0.0,1,1,0.0,5363.0
135,129,1,42.207,79.846,2007,5.188979638237347,241.94075885930897,-47.35035584421432,37334.18715891103,-0.025687250079604203,0,0,545.0174680673999,3262.0
136,130,1,28.278,90.225,2007,97.42889195877902,95.6100981975232,0.3637587522511609,9308.514278229808,0.0,1,1,0.0,5303.0
137,131,1,36.457,74.879,2008,,8.161456042198726,,6222.494125174963,-0.02666323303069467,0,0,225.02897503437822,2551.0
138,132,1,36.428,74.806,2008,,52.746731912870096,,7518.40795003588,0.0,1,1,0.0,3090.0
139,132,1,36.428,74.806,2008,,52.746731912870096,,7518.40795003588,0.0,1,1,0.0,3090.0
140,132,1,36.428,74.806,2008,,52.746731912870096,,7518.40795003588,0.0,1,1,0.0,3090.0
141,132,1,36.428,74.806,2008,,52.746731912870096,,7518.40795003588,0.0,1,1,0.0,3090.0
