Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial
supraglacial,94.253,30.737,2015,,5045,1,ice,1
ice,77.193,35.677,2015,191.5539,4779,1,ice,0
moraine,76.847,43.007,2015,8.9631,3515,1,moraine,0
moraine,74.54,42.528,2015,0.47840000000000005,3627,1,moraine,0
moraine,82.2,30.31,2015,26.4375,5530,1,moraine,0
moraine,87.896,27.943,2015,11.9375,5493,1,moraine,0
ice,79.846,42.207,2016,153.19740000000002,3269,1,ice,0
ice,74.004,36.784,2016,6.9707,3363,1,ice,0
supraglacial,86.891,27.906,2016,1.0697,4960,1,ice,1
ice,77.193,35.677,2016,116.2059,4779,1,ice,0
moraine,86.064,28.078,2016,1.0738,4608,1,moraine,0
ice,77.193,35.677,2016,156.9335,4779,1,ice,0
moraine,87.139,27.813,2017,7.5998,4793,1,moraine,0
ice,79.846,42.207,2017,159.6097,3269,1,ice,0
supraglacial,86.811,27.989,2017,16.0,5212,1,ice,1
ice,75.479,36.342,2017,9.614600000000001,3475,1,ice,0
water pocket,76.733,34.588,2017,,5117,1,other,0
moraine,74.7,42.4,2017,,3835,1,moraine,0
ice,77.193,35.677,2017,211.6095,4779,1,ice,0
ice,75.479,36.342,2018,21.7296,3475,1,ice,0
ice,75.479,36.342,2018,1.3004,3475,1,ice,0
ice,75.479,36.342,2018,,3475,1,ice,0
moraine,86.321,28.245,2018,21.421,5361,1,moraine,0
moraine,69.628,35.47,2018,6.4076,4454,1,moraine,0
water pocket,74.06,36.5,2018,,4369,1,other,0
ice,79.846,42.207,2018,291.01120000000003,3269,1,ice,0
ice,77.193,35.677,2018,224.4636,4779,1,ice,0
ice,75.479,36.342,2019,10.3711,3475,1,ice,0
moraine,90.263,28.106,2019,,4453,1,moraine,0
ice,74.563,36.361,2019,25.6442,2722,1,ice,0
ice,79.846,42.207,2019,221.39100000000002,3269,1,ice,0
moraine,71.97,35.86,2019,4.9455,4412,1,moraine,0
ice,77.193,35.677,2019,57.142900000000004,4779,1,ice,0
moraine,77.267,41.978,2019,3.0330000000000004,3754,1,moraine,0
ice,76.847,43.007,2019,3.0907,3515,1,ice,0
ice,74.563,36.361,2020,25.6801,2722,1,ice,0
ice,74.563,36.361,2020,27.7652,2722,1,ice,0
moraine,93.631,30.356,2020,55.7421,4442,1,moraine,0
supraglacial,71.97,35.86,2020,4.8362,4412,1,ice,1
moraine,94.544,30.436,2020,30.2345,3257,1,moraine,0
ice,79.846,42.207,2020,224.04760000000002,3269,1,ice,0
unknown,73.023,36.853,2020,,4942,1,other,0
ice,75.479,36.342,2021,19.1994,3475,1,ice,0
ice,74.563,36.361,2021,40.5861,2722,1,ice,0
water pocket,73.68,36.33,2021,,4281,1,other,0
