Unnamed: 0,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,area_t1,area_t2,expansion_ha_peryr
26,E(o),75.686,36.44,2023,28.09,4709,0,other,0,24.273312281922067,24.05657546984703,24.273312281922067,0.043347362415007494
27,O,72.613,35.994,2023,201.58,3622,0,other,0,201.6877896342804,200.6707257087146,201.68778963428042,0.20341278511316432
28,O,72.595,35.944,2023,96.35,3761,0,other,0,99.017334027099,97.27235781795868,99.01733402709901,0.34899524182806657
29,E(o),72.94,35.869,2023,20.01,4378,0,other,0,19.211140492718854,18.92005954708256,19.211140492718854,0.0582161891272591
30,E(v),72.98,35.855,2023,13.35,4325,0,other,0,30.42973253981787,15.506090757696292,30.42973253981787,2.9847283564243154
31,O,73.064,35.92,2023,21.34,4303,0,other,0,21.67125027916168,21.453094603136112,21.67125027916168,0.04363113520511348
32,E(o),73.155,35.906,2023,24.24,4328,0,other,0,22.91167153511848,23.348082753574733,22.91167153511848,-0.08728224369125073
33,E(o),73.073,35.871,2023,15.95,4617,0,other,0,15.574724374448753,13.247508714324622,15.574724374448753,0.46544313202482607
34,E(o),73.228,35.829,2023,12.38,4195,0,other,0,19.804204297743375,19.949811222855143,19.804204297743375,-0.029121385022353508
35,E(c),73.211,35.825,2023,26.44,4271,0,other,0,19.804204297743375,19.949811222855143,19.804204297743375,-0.029121385022353508
36,E(o),73.216,35.73,2023,26.36,3970,0,other,0,23.399875956682575,22.962496670053625,23.399875956682575,0.08747585732578997
37,E(o),73.313,35.987,2023,10.23,4583,0,other,0,9.952886005847317,8.427225352559999,9.952886005847317,0.3051321306574636
38,E(o),73.397,35.962,2023,18.84,4349,0,other,0,17.00796784479261,16.86260207663288,17.00796784479261,0.02907315363194627
39,E(o),73.289,35.949,2023,54.23,4228,0,other,0,29.15229200251365,28.788790270290338,29.15229200251365,0.0727003464446625
40,E(c),73.365,35.945,2023,67.34,4162,0,other,0,61.28545230450648,61.79440649007693,61.28545230450648,-0.1017908371140905
41,E(o),73.269,35.936,2023,11.45,4362,0,other,0,29.15229200251365,28.788790270290338,29.15229200251365,0.0727003464446625
42,E(o),73.274,35.925,2023,11.46,4227,0,other,0,24.572526704879916,24.209024972657772,24.572526704879916,0.07270034644442873
43,E(o),73.342,35.925,2023,11.69,4396,0,other,0,24.282470625289143,25.082228292462165,24.282470625289143,-0.15995153343460444
44,E(o),73.371,35.918,2023,12.25,4502,0,other,0,25.518481175853893,26.172835291175783,25.518481175853893,-0.13087082306437808
45,O,73.297,35.817,2023,15.36,2981,0,other,0,11.796353349095169,11.141005155404082,11.796353349095169,0.13106963873821725
