,Unnamed: 0,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,area_t1,area_t2,expansion_ha_peryr
712,712,E(o),82.535,29.985,2019,392.72,4829,0,other,0,383.84242080838794,383.14236604538024,383.84242080838794,0.1400109526015399
713,713,E(o),82.567,29.98,2019,19.61,4845,0,other,0,177.33873442402506,177.26091476441175,177.33873442402506,0.015563931922662278
714,714,M(o),82.589,29.98,2019,48.6,4853,0,moraine,0,46.82590237241603,46.04807817025197,46.82590237241603,0.15556484043281243
715,715,M(e),82.508,29.962,2019,25.57,5084,0,moraine,0,76.61498915362668,76.30385854000546,76.61498915362668,0.062226122724243285
716,716,M(e),82.603,29.94,2019,28.46,4891,0,moraine,0,37.746479643224355,39.53646426178673,37.746479643224355,-0.3579969237124757
717,717,M(e),82.618,29.924,2019,41.72,4960,0,moraine,0,37.746479643224355,39.53646426178673,37.746479643224355,-0.3579969237124757
718,718,M(e),82.782,29.84,2019,291.26,5058,0,moraine,0,317.26112382691235,265.848895085913,317.26112382691235,10.282445748199871
719,719,M(e),82.853,29.796,2019,53.83,5160,0,moraine,0,51.8219358136425,13.79511665109932,51.8219358136425,7.605363832508635
720,720,M(e),82.885,29.762,2019,40.66,5118,0,moraine,0,39.67886535871002,30.635718908803614,39.67886535871002,1.808629289981281
721,721,M(e),82.974,29.735,2019,80.86,5337,0,moraine,0,87.41033763731005,72.04840507490526,87.41033763731005,3.072386512480958
722,722,M(e),82.984,29.688,2019,45.06,5089,0,moraine,0,77.07516636311942,19.89210817319698,77.07516636311942,11.436611637984488
723,723,E(o),83.044,30.538,2019,26.81,5375,0,other,0,22.352114672540957,21.501333363446324,22.352114672540957,0.17015626181892643
724,724,E(o),83.073,30.529,2019,27.15,5609,0,other,0,28.774451690816313,7.812201916077588,28.774451690816313,4.192449954947746
725,725,M(o),83.327,30.751,2019,12.34,5631,0,moraine,0,12.582288302011372,11.575920964426729,12.582288302011372,0.20127346751692876
726,726,M(e),83.365,30.58,2019,10.59,5719,0,moraine,0,13.604505062142035,5.565863495303829,13.604505062142035,1.607728313367641
727,727,O,83.519,30.591,2019,270.94,5227,0,other,0,290.96023864791437,166.8925766767273,290.96023864791437,24.813532394237416
728,728,O,83.518,30.563,2019,42.47,5240,0,other,0,132.27072624147857,71.74062794234035,132.27072624147857,12.106019659827643
729,729,O,83.512,30.551,2019,16.57,5239,0,other,0,33.635428742249445,27.527034183935616,33.635428742249445,1.221678911662766
730,730,O,83.764,30.669,2019,12.51,5193,0,other,0,9.732021359404673,9.732790614701782,9.732021359404673,-0.00015385105942193887
731,731,O,83.763,30.662,2019,13.83,5192,0,other,0,9.732021359404673,9.732790614701782,9.732021359404673,-0.00015385105942193887
732,732,O,83.754,30.617,2019,25.44,5181,0,other,0,5.796298876654649,1.2365391410299005,5.796298876654649,0.9119519471249496
733,733,O,83.764,30.612,2019,13.4,5180,0,other,0,5.796298876654649,1.2365391410299005,5.796298876654649,0.9119519471249496
734,734,E(o),83.963,30.5,2019,14.7,5497,0,other,0,12.457092585703172,11.296492277268406,12.457092585703172,0.23212006168695326
735,735,M(o),83.842,30.492,2019,23.49,5633,0,moraine,0,20.81511920880166,20.969886399205063,20.81511920880166,-0.03095343808068023
736,736,E(o),83.908,30.48,2019,41.76,5521,0,other,0,39.85413406662115,36.29553310747313,39.85413406662115,0.7117201918296032
737,737,E(o),83.984,30.465,2019,84.88,5450,0,other,0,79.49049282927905,78.01990628337823,79.49049282927905,0.29411730918016304
738,738,E(o),83.898,30.461,2019,18.62,5536,0,other,0,38.38506841818627,36.29553310747313,38.38506841818627,0.4179070621426277
739,739,E(o),83.973,30.461,2019,19.08,5448,0,other,0,79.49049282927905,78.01990628337823,79.49049282927905,0.29411730918016304
740,740,E(o),83.996,30.431,2019,206.16,5429,0,other,0,193.18343506170265,189.62176796714343,193.18343506170265,0.7123334189118452
741,741,E(o),83.073,29.731,2019,21.82,5086,0,other,0,39.224457227743926,37.58685074461784,39.224457227743926,0.32752129662521695
742,742,O,83.105,29.726,2019,113.22,5010,0,other,0,97.71125465326246,90.4587727276752,97.71125465326246,1.4504963851174524
743,743,M(e),83.025,29.693,2019,30.18,5371,0,moraine,0,77.07516636311942,23.167996650275278,77.07516636311942,10.781433942568828
744,744,O,83.19,29.689,2019,54.5,5007,0,other,0,40.487138326088704,33.23213062909335,40.487138326088704,1.4510015393990714
745,745,O,83.097,29.686,2019,25.38,5040,0,other,0,21.375414567200984,18.098859725461057,21.375414567200984,0.6553109683479853
746,746,O,83.182,29.674,2019,25.01,5011,0,other,0,40.487138326088704,33.23213062909335,40.487138326088704,1.4510015393990714
747,747,M(o),83.106,29.655,2019,32.58,5241,0,moraine,0,32.229248280012996,30.980634161933615,32.229248280012996,0.24972282361587617
748,748,M(o),83.151,29.632,2019,20.93,5367,0,moraine,0,24.275106161299565,23.494375468998314,24.275106161299565,0.15614613846025022
749,749,E(o),83.131,29.627,2019,10.61,5366,0,other,0,24.275106161299565,23.494375468998314,24.275106161299565,0.15614613846025022
750,750,O,83.376,29.604,2019,145.71,4889,0,other,0,129.2942724893894,124.76573073340516,129.29427248938313,0.9057083511955938
751,751,O,83.355,29.582,2019,118.74,4888,0,other,0,108.39370321392047,103.78615419951613,108.39370321392359,0.9215098028814908
752,752,O,83.444,29.511,2019,211.06,4959,0,other,0,204.67093381898928,202.09214048990455,204.6709338189706,0.5157586658132118
753,753,O,83.428,29.499,2019,59.8,4959,0,other,0,200.8417447594758,198.34109960706857,200.84174475945622,0.5001290304775295
754,754,O,83.646,29.322,2019,15.53,5159,0,other,0,14.014594566967304,12.292131538352468,14.014594566967265,0.3444926057229594
755,755,E(o),83.618,29.268,2019,30.54,5168,0,other,0,22.482402942776044,14.413839844253598,22.482402942774684,1.613712619704217
756,756,M(e),84.068,30.58,2019,28.04,5675,0,moraine,0,28.681931180360507,28.06343640262396,28.681931180361367,0.1236989555474814
757,757,O,84.096,30.391,2019,24.88,5396,0,other,0,958.0670257487138,890.9966578850228,958.0670257487249,13.414073572740403
