,Elevation_m,GLOF,Lake_type,Lake_type_simplified,Latitude,Longitude,Year_final,id,is_supraglacial,Lake_area_calculated_ha,Lake_area_ha
111,3269,1,ice,ice,42.207,79.846,2003,111,0,,289.5437
112,3551,1,ice,ice,36.84,73.92,2004,112,0,,1.2776
113,5363,1,supraglacial,ice,30.267,81.474,2004,113,1,,
114,3269,1,ice,ice,42.207,79.846,2004,114,0,,350.59340000000003
115,4779,1,ice,ice,35.677,77.193,2004,115,0,,223.2507
116,4403,1,unknown,other,36.384,72.706,2005,116,0,,
117,3600,1,moraine,moraine,42.537,74.427,2005,117,0,,
118,3269,1,ice,ice,42.207,79.846,2005,118,0,,273.5822
119,3542,1,water pocket,other,43.128,77.509,2005,119,0,,33.196000000000005
120,4762,1,moraine,moraine,36.027,73.196,2005,120,0,,
121,4779,1,ice,ice,35.677,77.193,2005,121,0,,221.2477
122,5052,1,moraine,moraine,29.752,96.465,2006,122,0,11.304360025361008,18.1658
123,5363,1,supraglacial,ice,30.267,81.474,2006,123,1,,
124,3861,1,moraine,moraine,41.859,76.995,2006,124,0,,3.6286
125,3269,1,ice,ice,42.207,79.846,2006,125,0,,211.5032
126,4779,1,ice,ice,35.677,77.193,2006,126,0,,128.3359
127,3090,1,water pocket,other,36.428,74.806,2007,127,0,,
128,5363,1,supraglacial,ice,30.267,81.474,2007,128,1,,
129,3269,1,ice,ice,42.207,79.846,2007,129,0,5.188979638237347,211.5103
130,5301,1,moraine,moraine,28.278,90.225,2007,130,0,97.42889195877902,98.75
131,2551,1,moraine,moraine,36.457,74.879,2008,131,0,,
132,3090,1,water pocket,other,36.428,74.806,2008,132,0,,
133,3090,1,water pocket,other,36.428,74.806,2008,133,0,,
134,3090,1,water pocket,other,36.428,74.806,2008,134,0,,
135,4779,1,ice,ice,35.677,77.193,2008,135,0,,35.8967
136,5363,1,supraglacial,ice,30.267,81.474,2008,136,1,,
137,3090,1,water pocket,other,36.428,74.806,2008,137,0,,
138,3269,1,ice,ice,42.207,79.846,2008,138,0,2.660115178646293,215.7636
139,3893,1,moraine,moraine,41.941,77.017,2008,139,0,3.1389946298207425,5.0313
140,4181,1,bedrock,other,28.323,97.835,2008,140,0,4.74310668536486,8.375
141,3269,1,ice,ice,42.207,79.846,2009,141,0,18.69417542859816,114.347
142,4414,1,unknown,other,37.094,71.637,2009,142,0,0.8596846222362232,
143,2648,1,water pocket,other,36.043,74.571,2009,143,0,,
144,3090,1,water pocket,other,36.428,74.806,2009,144,0,0.361304071158535,
145,4268,1,supraglacial,ice,28.101,90.164,2009,145,1,5.30727775284766,13.1797
146,5363,1,supraglacial,ice,30.267,81.474,2009,146,1,10.858059427184449,
147,3363,1,ice,ice,36.784,74.004,2009,147,0,0.6473043636797607,5.2659
148,4779,1,ice,ice,35.677,77.193,2009,148,0,0.07296354631079824,159.4023
149,4760,1,moraine,moraine,30.83,94.0,2009,149,0,9.25545604365834,43.4039
150,4706,1,moraine,moraine,28.087,90.326,2009,150,0,133.18714099835577,11.5105
151,4124,1,water pocket,other,35.93,74.609,2010,151,0,0.4363043511873737,
152,3301,1,water pocket,other,36.039,74.633,2010,152,0,0.3630657056100978,
153,3997,1,supraglacial,ice,36.546,73.353,2010,153,1,0.7213454621504333,
154,3466,1,water pocket,other,42.522,74.609,2010,154,0,137.08298087576497,
155,3475,1,ice,ice,36.342,75.479,2010,155,0,3.255523555462977,
156,3269,1,ice,ice,42.207,79.846,2010,156,0,29.472206297890114,120.1516
157,2648,1,water pocket,other,36.043,74.571,2010,157,0,,
158,5485,1,moraine,moraine,27.951,87.985,2010,158,0,46.887034525872494,9.2929
159,4313,1,unknown,other,36.174,71.898,2010,159,0,0.2899713168023337,
160,5684,1,moraine,moraine,33.019,78.488,2010,160,0,4.819715586937388,1.961
161,3269,1,ice,ice,42.207,79.846,2011,161,0,108.83409737057555,275.9137
162,5093,1,ice,ice,35.411,77.604,2011,162,0,71.42660876598136,
163,5363,1,supraglacial,ice,30.267,81.474,2011,163,1,5.894448782350438,
164,3269,1,ice,ice,42.207,79.846,2012,164,0,91.87094546371918,237.0198
165,4762,1,moraine,moraine,36.027,73.196,2012,165,0,8.642454136944618,
166,3600,1,moraine,moraine,42.537,74.427,2012,166,0,11.182868988317473,0.9136
167,5093,1,ice,ice,35.411,77.604,2013,167,0,19.248735467221266,
168,3860,1,moraine,moraine,30.747,79.062,2013,168,0,0.07715927176802627,9.1459
169,5014,1,moraine,moraine,30.473,93.534,2013,169,0,36.375707114929895,57.3948
170,3363,1,ice,ice,36.784,74.004,2013,170,0,0.071915776908725,9.0697
171,3807,1,moraine,moraine,41.987,76.814,2013,171,0,36.25304325784227,3.8815
172,4588,1,moraine,moraine,36.475,71.129,2013,172,0,25.92528116766543,20.2148
173,3864,1,moraine,moraine,30.531,94.944,2013,173,0,3.248597955308114,6.5625
174,3886,1,water pocket,other,35.997,74.666,2014,174,0,40.98195284388251,
175,5093,1,ice,ice,35.411,77.604,2014,175,0,7.025220278733886,65.372
176,3374,1,supraglacial,ice,43.144,77.277,2014,176,1,2.621587048783638,
177,3769,1,moraine,moraine,41.973,76.828,2014,177,0,10.685718718664662,1.8978
178,5411,1,moraine,moraine,33.617,77.613,2014,178,0,41.80403879309199,10.746
179,3269,1,ice,ice,42.207,79.846,2015,179,0,58.54594617224758,201.8529
180,4368,1,moraine,moraine,27.874,86.586,2015,180,0,240.85642563863462,64.08630000000001
181,4960,1,supraglacial,ice,27.906,86.891,2015,181,1,45.874527376079726,0.7212000000000001
182,4284,1,moraine,moraine,28.07,89.58,2015,182,0,5.625828590637876,5.616700000000001
183,3886,1,water pocket,other,35.997,74.666,2015,183,0,72.30022551433073,
184,4060,1,water pocket,other,36.22,71.775,2015,184,0,5.287797776593397,
185,4313,1,unknown,other,36.174,71.898,2015,185,0,1.3048325309054092,
186,5045,1,supraglacial,ice,30.737,94.253,2015,186,1,49.08252487707486,
187,4779,1,ice,ice,35.677,77.193,2015,187,0,52.38215161562131,191.5539
188,3515,1,moraine,moraine,43.007,76.847,2015,188,0,19.63925625805924,8.9631
189,3627,1,moraine,moraine,42.528,74.54,2015,189,0,105.6070139675213,0.4784
